R package version: 0.0-30
Summary type: mean
Test type: t-test
x-axis treatment: 20
x-axis medium: SDM_rhk_CTGN
x-axis screen ID: QFA0141
x-axis screen name: Addinall et al. (2011) 20C ura3
x-axis libraries: SDLV2_384_SDLV3_384
x-axis client: DAL
x-axis user: SGA
x-axis date: 2010/01/18
x-axis PI: DAL
x-axis condition: SDM_rhk_CTGN
x-axis inoculation type: DIL
x-axis fitness definition: MDRMDP
y-axis treatment: 23
y-axis medium: SDM_rhk_CTGN
y-axis screen ID: QFA0139
y-axis screen name: Addinall et al. (2011) 23C yku70
y-axis libraries: SDLV2_384_SDLV3_384
y-axis client: DAL
y-axis user: SGA
y-axis date: 2009/08/28
y-axis PI: DAL
y-axis condition: SDM_rhk_CTGN
y-axis inoculation type: DIL
y-axis fitness definition: MDRMDP
#########################################################
ORF	Gene	P	Q	GIS	QueryFitnessSummary	ControlFitnessSummary	QuerySE	ControlSE	QueryCount	ControlCount	TestType	Type
YMR284W	YKU70	3.08063e-09	1.20257e-06	-96.0061	0	82.8401	0	2.2771	8	8	t-test	E
YMR283C	RIT1	1.99978e-09	9.54118e-07	-95.8184	0	82.6782	0	2.13602	8	8	t-test	E
YJL130C	URA2	6.51207e-10	4.76134e-07	-95.4917	0	82.3963	0	1.81245	8	8	t-test	E
YMR285C	NGL2	7.76185e-10	4.76134e-07	-93.8636	0	80.9914	0	1.82694	8	8	t-test	E
YML106W	URA5	1.23089e-09	6.60678e-07	-90.7175	0	78.2768	0	1.88635	8	8	t-test	E
YLR014C	PPR1	6.99713e-10	4.76134e-07	-88.2009	0	76.1053	0	1.69139	8	8	t-test	E
YIL009C-A	EST3	4.66238e-07	0.000133468	-87.8571	6.05197	81.0307	6.05197	1.63646	8	8	t-test	E
YMR289W	ABZ2	1.7138e-08	5.6608e-06	-87.1867	4.70256	79.2879	4.70256	1.79067	8	8	t-test	E
YMR291W	TDA1	0.0001405	0.0241322	-83.903	11.6518	82.4507	11.6518	1.97451	8	8	t-test	E
YLR420W	URA4	7.84849e-08	2.40724e-05	-82.7567	4.80421	75.5531	4.80421	1.47669	8	8	t-test	E
YKL216W	URA1	3.06618e-09	1.20257e-06	-82.0552	4.08464	74.3269	4.08464	1.86048	8	8	t-test	E
YNL257C	SIP3	0.000159683	0.0263723	-81.9763	11.8156	80.9296	11.8156	2.53868	8	8	t-test	E
YEL065W	SIT1	0.000496073	0.0473952	-79.2758	13.7781	80.2928	13.7781	3.75037	8	8	t-test	E
YNL259C	ATX1	0.000318923	0.0402781	-78.4132	12.4287	78.3841	12.4287	2.3769	8	8	t-test	E
YNL265C	IST1	0.00150872	0.087779	-73.0739	0	63.0527	0	12.5285	8	8	t-test	E
YBL025W	RRN10	0.00316632	0.133296	-72.8552	0	62.8641	0	14.2953	8	8	t-test	E
YMR278W	PRM15	0.00105055	0.0704854	-72.583	20.6083	80.4113	13.6322	1.26919	8	8	t-test	E
YCR071C	IMG2	8.37916e-05	0.0168962	-70.1902	0	60.5645	0	7.47154	8	8	t-test	E
YLR233C	EST1	4.90514e-23	7.02089e-20	-69.023	24.6485	80.8257	4.25575	0.698206	56	56	t-test	E
YMR279C	YMR279C	0.00250433	0.115578	-68.9283	23.0557	79.3696	15.1448	1.95476	8	8	t-test	E
YMR275C	BUL1	0.00292997	0.125813	-67.3071	23.0806	77.9923	15.1174	0.938474	8	8	t-test	E
YDR369C	XRS2	1.35278e-08	4.8407e-06	-66.7418	0	57.589	0	1.95802	8	8	t-test	E
YMR280C	CAT8	0.00455352	0.170024	-65.5883	32.1022	84.2935	16.0585	1.70638	8	8	t-test	E
YJL071W	ARG2	0.000380377	0.043045	-63.87	0	55.1111	0	8.66083	8	8	t-test	E
YBR036C	CSG2	0.000844685	0.0614759	-63.4502	2.5869	56.981	2.5869	10.1116	8	8	t-test	E
YNL255C	GIS2	0.00117847	0.0747234	-61.1549	32.3239	80.6594	12.0407	2.83333	8	8	t-test	E
YNL081C	SWS2	0.00018133	0.0278083	-59.6749	14.0159	63.5851	9.20908	3.21179	8	8	t-test	E
YEL061C	CIN8	0.00120335	0.0747234	-58.9073	11.6773	60.9049	11.6773	2.94263	8	8	t-test	E
YIL040W	APQ12	0.00248361	0.115578	-58.3593	0	50.3561	0	10.9465	8	8	t-test	E
YFR025C	HIS2	1.62423e-05	0.00367076	-58.2951	3.87151	53.6413	3.87151	6.03608	8	8	t-test	E
YEL060C	PRB1	0.0118408	0.288508	-57.3668	34.6531	79.4005	17.0415	2.07857	8	8	t-test	E
YMR276W	DSK2	0.00762215	0.222499	-57.2328	38.993	83.0297	15.5068	1.69084	8	8	t-test	E
YGL168W	HUR1	0.000205684	0.0294402	-57.0596	8.50079	56.5696	8.50079	1.73156	8	8	t-test	E
YMR224C	MRE11	4.46449e-44	1.91705e-40	-56.8004	1.74687	50.5183	0.865926	1.52365	56	56	t-test	E
YMR274C	RCE1	0.0166107	0.330773	-56.3678	36.9185	80.4934	18.0176	1.16522	8	8	t-test	E
YMR292W	GOT1	0.00961322	0.256392	-56.13	32.2451	76.2556	15.971	2.21308	8	8	t-test	E
YHR041C	SRB2	0.000393517	0.043045	-55.1418	4.39978	51.3762	4.39978	8.23233	8	8	t-test	E
YKL110C	KTI12	0.370726	0.7733	-54.4592	74.7843	111.519	12.446	48.2533	8	8	t-test	E
YEL064C	AVT2	0.0129016	0.300335	-53.9866	0	46.583	0	14.0639	8	8	t-test	E
YNL281W	HCH1	0.0110944	0.276972	-52.9076	40.7019	80.7722	15.4953	1.74434	8	8	t-test	E
YMR271C	URA10	0.0187694	0.345904	-52.7594	45.3991	84.6973	17.3604	2.91444	8	8	t-test	E
YBR122C	MRPL36	0.0379131	0.485967	-51.8427	41.0671	80.1684	20.2636	2.93067	8	8	t-test	E
YNL278W	CAF120	0.0239639	0.389776	-51.7477	36.6752	76.2968	17.9393	4.89359	8	8	t-test	E
YGL167C	PMR1	0.000527079	0.0481548	-51.5281	13.2833	55.9233	8.69747	1.16772	8	8	t-test	E
YGR157W	CHO2	0.00128458	0.0776898	-51.4827	0	44.4226	0	8.58011	8	8	t-test	E
YNL250W	RAD50	2.5106e-30	5.39026e-27	-51.0465	3.49037	47.0579	1.53174	2.02719	48	48	t-test	E
YBR170C	NPL4	0.00625583	0.197519	-50.9663	7.97816	50.861	7.97816	11.2637	8	8	t-test	E
YLR449W	FPR4	0.0113749	0.282263	-50.2383	37.3942	75.6149	14.795	1.75461	8	8	t-test	E
YOL004W	SIN3	0.00111796	0.072735	-49.8519	17.0503	57.7275	9.53065	1.29625	8	8	t-test	E
YNL266W	YNL266W	0.0433558	0.519682	-49.4866	12.3058	53.3184	12.3058	15.71	8	8	t-test	E
YPR024W	YME1	9.95512e-07	0.000251455	-49.2225	4.46824	46.3277	4.46824	3.34842	8	8	t-test	E
YEL063C	CAN1	0.0186281	0.345653	-49.1792	2.9332	44.9659	2.9332	13.9388	8	8	t-test	E
YMR272C	SCS7	0.0229067	0.388277	-48.6088	43.5366	79.5088	16.751	2.60583	8	8	t-test	E
YDR034C	LYS14	2.45028e-17	2.63038e-14	-48.0795	1.57128	42.8419	1.57128	3.45787	56	56	t-test	E
YMR273C	ZDS1	0.018898	0.346787	-47.7943	50.2714	84.6173	15.7486	2.11202	8	8	t-test	E
YOR302W	YOR302W	0.0131493	0.300335	-47.6019	0	41.0739	0	12.4526	8	8	t-test	E
YDL104C	QRI7	0.0144387	0.308456	-46.7231	38.3057	73.3682	14.5023	2.33733	8	8	t-test	E
YNL201C	PSY2	0.0163887	0.330389	-46.3741	43.078	77.1849	14.8033	2.68947	8	8	t-test	E
YJL204C	RCY1	0.00230863	0.113525	-46.2206	7.99843	46.7836	5.25114	8.87213	8	8	t-test	E
YNR006W	VPS27	0.0081489	0.230207	-45.9588	24.0758	60.4302	12.6966	2.73678	8	8	t-test	E
YGL253W	HXK2	0.441933	0.781278	-45.8302	85.4536	113.28	3.96261	48.4317	8	8	t-test	E
YNL273W	TOF1	0.0408104	0.507942	-45.7348	25.1262	61.1434	12.5463	13.6513	8	8	t-test	E
YNL169C	PSD1	0.00205033	0.108693	-45.4309	20.065	56.514	9.82013	2.45755	8	8	t-test	E
YKR001C	VPS1	0.00436268	0.165474	-45.3413	17.5544	54.2704	9.73798	7.87719	8	8	t-test	E
YLR085C	ARP6	0.00243446	0.114874	-44.8845	30.2892	64.8646	9.84557	1.51581	8	8	t-test	E
YEL062W	NPR2	0.0121812	0.291047	-44.8692	9.49759	46.9111	9.49759	10.5249	8	8	t-test	E
YNL274C	GOR1	0.0368737	0.484417	-44.7222	53.7931	85.0053	17.3477	2.6646	8	8	t-test	E
YDR207C	UME6	0.00231283	0.113525	-44.4614	12.6615	49.2893	8.6716	7.11371	8	8	t-test	E
YHL007C	STE20	0.0166388	0.330773	-43.751	3.45324	40.7308	3.45324	12.0903	8	8	t-test	E
YML107C	PML39	0.00478027	0.173953	-43.3961	38.9004	71.0106	10.8118	2.10525	8	8	t-test	E
YKL212W	SAC1	0.0359506	0.480909	-43.2112	0	37.2854	0	14.3965	8	8	t-test	E
YMR282C	AEP2	0.000661161	0.0549197	-42.9028	5.50273	41.7674	5.50273	6.74279	8	8	t-test	E
YNL254C	RTC4	0.0410296	0.509194	-42.8772	54.8785	84.3498	17.1157	2.48063	8	8	t-test	E
YLR015W	BRE2	0.00038999	0.043045	-42.6676	29.3636	62.1531	7.09549	1.73636	8	8	t-test	E
YNL215W	IES2	0.00680983	0.206852	-42.1697	38.0139	69.1875	11.2558	2.51275	8	8	t-test	E
YDR375C	BCS1	0.0120898	0.291047	-42.1485	33.0905	64.9209	12.572	1.39516	8	8	t-test	E
YOL095C	HMI1	0.00602875	0.192242	-42.1225	22.1773	55.4819	10.9142	1.50144	8	8	t-test	E
YOR106W	VAM3	0.00272953	0.12209	-41.1736	12.4095	46.2348	8.14879	6.80375	8	8	t-test	E
YKL041W	VPS24	0.0103981	0.268974	-41.1207	28.107	59.734	11.9162	2.23051	8	8	t-test	E
YNL003C	PET8	0.0129346	0.300335	-40.9302	32.6473	63.4873	12.417	2.49832	8	8	t-test	E
YLR452C	SST2	0.0194873	0.350119	-40.8602	27.0506	58.5977	13.2246	5.69128	8	8	t-test	E
YJR109C	CPA2	0.000861953	0.0616871	-40.7808	0	35.1882	0	8.48714	16	16	t-test	E
YGR055W	MUP1	0.0602965	0.587105	-40.5577	42.5642	71.7229	18.0897	1.92621	8	8	t-test	E
YPL004C	LSP1	0.0424035	0.519682	-40.4431	55.5032	82.7886	16.2911	2.29397	8	8	t-test	E
YLR337C	VRP1	0.00657284	0.20452	-39.3674	25.8781	56.2979	10.3998	1.77839	8	8	t-test	E
