R package version: 0.0-30
Summary type: mean
Test type: t-test
x-axis treatment: 20
x-axis medium: SDM_rhk_CTGN
x-axis screen ID: QFA0141
x-axis screen name: Addinall et al. (2011) 20C ura3
x-axis libraries: SDLV2_384_SDLV3_384
x-axis client: DAL
x-axis user: SGA
x-axis date: 2010/01/18
x-axis PI: DAL
x-axis condition: SDM_rhk_CTGN
x-axis inoculation type: DIL
x-axis fitness definition: MDRMDP
y-axis treatment: 37
y-axis medium: SDM_rhk_CTGN
y-axis screen ID: QFA0141
y-axis screen name: Addinall et al. (2011) 37C ura3
y-axis libraries: SDLV2_384_SDLV3_384
y-axis client: DAL
y-axis user: SGA
y-axis date: 2010/01/18
y-axis PI: DAL
y-axis condition: SDM_rhk_CTGN
y-axis inoculation type: DIL
y-axis fitness definition: MDRMDP
#########################################################
ORF	Gene	P	Q	GIS	QueryFitnessSummary	ControlFitnessSummary	QuerySE	ControlSE	QueryCount	ControlCount	TestType	Type
YPL041C	YPL041C	9.47116e-10	5.36268e-08	-119.894	0	77.6924	0	1.80323	8	8	t-test	E
YJL007C	YJL007C	2.79214e-15	1.99824e-12	-119.332	2.17712	78.7391	2.17712	1.54152	8	8	t-test	E
YDR276C	PMP3	1.05038e-08	4.02707e-07	-118.922	0	77.0626	0	2.52647	8	8	t-test	E
YLR428C	YLR428C	2.80309e-12	4.6294e-10	-118.89	4.33899	79.8536	2.84186	2.49062	8	8	t-test	E
YFR045W	YFR045W	5.87194e-12	8.4047e-10	-118.444	3.60459	79.0885	3.60459	1.40651	8	8	t-test	E
YNR071C	YNR071C	3.13605e-12	4.98748e-10	-118.424	3.58699	79.0642	3.58699	1.49982	8	8	t-test	E
YOR296W	YOR296W	1.13391e-09	6.16329e-08	-117.881	7.69585	81.3747	5.04136	1.57592	8	8	t-test	E
YMR316C-A	YMR316C-A	2.32634e-08	8.25378e-07	-117.571	12.0178	83.9748	6.73393	2.03668	8	8	t-test	E
YOR251C	TUM1	2.83628e-11	2.97048e-09	-117.116	0	75.8924	0	1.06597	8	8	t-test	E
YJL030W	MAD2	2.03033e-11	2.49092e-09	-116.812	11.2162	82.9634	4.4943	2.6005	8	8	t-test	E
YBR209W	YBR209W	2.66613e-05	0.000612212	-116.277	17.0229	86.3794	13.0102	2.12852	8	8	t-test	E
YGL256W	ADH4	9.49148e-10	5.36268e-08	-115.711	0	74.9818	0	1.74086	8	8	t-test	E
YKL177W	YKL177W	2.18227e-05	0.000506522	-114.778	14.8148	83.9773	11.987	1.31435	8	8	t-test	E
YMR004W	MVP1	3.40931e-09	1.5574e-07	-114.103	0	73.9395	0	2.06223	8	8	t-test	E
YJR035W	RAD26	1.12465e-07	3.83275e-06	-113.649	9.76255	79.9717	6.82081	1.53737	8	8	t-test	E
YPR053C	YPR053C	7.47234e-11	6.59866e-09	-113.231	8.23914	78.7137	4.32965	1.69785	8	8	t-test	E
YBR169C	SSE2	3.13829e-05	0.000709253	-112.779	20.8118	86.5681	13.5637	3.08702	8	8	t-test	E
YOR043W	WHI2	1.77681e-08	6.57726e-07	-111.768	0	72.4268	0	2.56106	8	8	t-test	E
YAR044W	OSH1	9.34117e-05	0.00186563	-111.647	17.1769	83.4789	14.5033	1.69253	8	8	t-test	E
YPR097W	YPR097W	1.4717e-05	0.000359061	-111.288	16.3942	82.7391	11.2489	1.58198	8	8	t-test	E
YPL261C	YPL261C	8.21253e-09	3.26524e-07	-110.916	0	71.8748	0	2.27448	8	8	t-test	E
YPL256C	CLN2	2.53e-11	2.71595e-09	-110.709	3.20806	73.8196	3.20806	0.994497	8	8	t-test	E
YAR031W	PRM9	0.00020119	0.00349761	-109.874	23.3057	86.302	16.1169	2.06488	8	8	t-test	E
YLR039C	RIC1	9.46948e-11	7.97293e-09	-108.701	3.41069	72.6493	3.41069	0.98595	8	8	t-test	E
YIL039W	TED1	4.35747e-12	6.45206e-10	-108.243	5.39394	73.6375	3.54034	1.60949	8	8	t-test	E
YOR030W	DFG16	2.07929e-09	1.0146e-07	-108.003	10.6983	76.9198	4.35002	1.11137	8	8	t-test	E
YMR119W-A	YMR119W-A	7.43498e-06	0.000191173	-107.121	17.7124	80.8933	10.5432	2.21397	8	8	t-test	E
YBR121C	GRS1	9.68839e-06	0.000243286	-107.07	20.4879	82.6584	11.1588	2.62038	8	8	t-test	E
YGL046W	YGL046W	9.07745e-06	0.000229286	-106.559	11.7628	76.6735	9.59632	0.749461	8	8	t-test	E
YMR052C-A	YMR052C-A	1.31107e-07	4.33057e-06	-105.928	16.0469	79.041	6.71425	1.66314	8	8	t-test	E
YCR009C	RVS161	4.15998e-10	2.70651e-08	-105.384	2.81651	70.1149	2.81651	3.03292	8	8	t-test	E
YIL098C	FMC1	1.17963e-09	6.19187e-08	-105.258	13.5321	76.9769	4.19545	1.16613	8	8	t-test	E
YLR262C	YPT6	3.92501e-13	9.95734e-11	-105.091	2.57284	69.767	2.57284	1.02785	8	8	t-test	E
YLR418C	CDC73	1.93382e-10	1.40743e-08	-104.284	0	67.5769	0	1.24921	8	8	t-test	E
YBR071W	YBR071W	0.000365392	0.00539173	-104.26	28.5798	86.0814	17.0634	2.89073	8	8	t-test	E
YHL027W	RIM101	4.28952e-07	1.29713e-05	-104.144	10.8803	74.5366	6.53609	0.951429	8	8	t-test	E
YDR335W	MSN5	5.93063e-10	3.69074e-08	-103.645	0	67.163	0	1.4577	8	8	t-test	E
