R package version: 0.0-30
Summary type: mean
Test type: t-test
x-axis treatment: 27
x-axis medium: SDM_rhk_CTGN
x-axis screen ID: QFA0141
x-axis screen name: Addinall et al. (2011) 20C ura3
x-axis libraries: SDLV2_384_SDLV3_384
x-axis client: DAL
x-axis user: SGA
x-axis date: 2010/01/18
x-axis PI: DAL
x-axis condition: SDM_rhk_CTGN
x-axis inoculation type: DIL
x-axis fitness definition: MDRMDP
y-axis treatment: 27
y-axis medium: SDM_rhlk_CTGH
y-axis screen ID: QFA0140
y-axis screen name: Addinall et al. (2011) 27C cdc13-1
y-axis libraries: SDLV2_384_SDLV3_384
y-axis client: DAL
y-axis user: SGA
y-axis date: 2009/11/16
y-axis PI: DAL
y-axis condition: SDM_rhlk_CTGH
y-axis inoculation type: DIL
y-axis fitness definition: MDRMDP
#########################################################
ORF	Gene	P	Q	GIS	QueryFitnessSummary	ControlFitnessSummary	QuerySE	ControlSE	QueryCount	ControlCount	TestType	Type
YMR284W	YKU70	3.4276e-14	1.33801e-11	-68.012	1.4806	137.934	1.4806	2.01709	8	8	t-test	E
YOR027W	STI1	5.56698e-10	1.03933e-07	-65.3909	0	129.793	0	2.7916	8	8	t-test	E
YPL101W	ELP4	0.0122977	0.091997	-65.0923	14.7445	158.466	3.90638	38.7549	8	8	t-test	E
YCR020C-A	MAK31	3.03446e-07	1.5997e-05	-62.6826	6.35951	137.04	4.39361	3.36626	8	8	t-test	E
YBR275C	RIF1	1.41739e-07	8.98003e-06	-61.4688	5.85018	133.62	4.07681	3.38833	8	8	t-test	E
YDR290W	YDR290W	3.42534e-05	0.000697082	-60.277	7.41231	134.355	3.69592	15.315	8	8	t-test	E
YDR260C	SWM1	4.55331e-08	3.62072e-06	-58.8366	7.92613	132.516	3.08919	1.99766	8	8	t-test	E
YBR072W	HSP26	3.93725e-06	0.000123405	-58.5766	21.2666	158.479	5.42677	3.80102	8	8	t-test	E
YDL056W	MBP1	9.91919e-07	3.83721e-05	-58.4393	12.0165	139.846	4.91993	4.35253	8	8	t-test	E
YCR079W	PTC6	6.60576e-07	2.80843e-05	-58.3551	12.1833	140.01	4.35052	3.0484	8	8	t-test	E
YCL060C	:::MRC1	2.36288e-09	3.62364e-07	-57.9959	6.72562	128.464	2.59173	2.35822	8	8	t-test	E
YCL061C	MRC1	6.96418e-09	7.47605e-07	-55.6403	5.7764	121.904	2.82506	2.64176	8	8	t-test	E
YAL024C	LTE1	9.72461e-08	6.62817e-06	-55.6365	8.45716	127.218	3.42088	2.62087	8	8	t-test	E
YMR186W	HSC82	9.03177e-08	6.35778e-06	-55.2814	11.465	132.483	3.3859	2.62298	8	8	t-test	E
YJL092W	SRS2	4.87454e-07	2.21254e-05	-54.9093	14.7916	138.348	4.14533	3.3587	8	8	t-test	E
YKL191W	DPH2	1.64787e-08	1.48531e-06	-53.9659	12.5897	132.105	2.80829	2.3103	8	8	t-test	E
YPR120C	CLB5	4.93286e-09	6.4187e-07	-53.8964	7.06604	121.003	2.7446	2.75181	8	8	t-test	E
YCR077C	PAT1	3.6532e-10	7.13039e-08	-53.4815	2.58135	111.278	2.58135	4.18755	8	8	t-test	E
YPR050C	YPR050C	0.040202	0.226248	-53.4481	10.5583	127.045	4.29177	42.0615	8	8	t-test	E
YGR187C	HGH1	1.09037e-06	4.07136e-05	-52.949	13.9142	132.715	4.18839	2.92231	8	8	t-test	E
YHR030C	SLT2	2.84502e-05	0.000603606	-52.8499	20.2686	145.131	6.15867	3.83599	8	8	t-test	E
YGL014W	PUF4	3.99308e-05	0.000790151	-52.8319	9.70622	124.13	5.98705	1.80652	8	8	t-test	E
YPR040W	TIP41	3.478e-07	1.75328e-05	-52.727	12.2786	129.028	3.83509	3.11715	8	8	t-test	E
YBR034C	HMT1	1.04387e-09	1.86767e-07	-52.4347	16.5931	137.012	2.67655	3.66868	8	8	t-test	E
YIL103W	DPH1	7.87484e-09	8.24746e-07	-52.19	12.585	128.57	2.9347	3.27263	8	8	t-test	E
YEL053C	MAK10	5.66372e-09	6.78082e-07	-51.7072	12.5822	127.606	3.04836	4.19754	8	8	t-test	E
YIL009C-A	EST3	5.72983e-05	0.00106051	-51.5472	15.6831	133.444	6.17272	1.91267	8	8	t-test	E
YGR123C	PPT1	9.47264e-06	0.000255227	-51.4326	16.989	135.808	4.84093	1.91906	8	8	t-test	E
YER155C	BEM2	7.81174e-08	5.78338e-06	-51.2322	13.0358	127.564	3.09137	2.40389	8	8	t-test	E
YPR046W	MCM16	2.85357e-05	0.000603606	-50.9949	17.6405	136.233	5.71791	2.70125	8	8	t-test	E
YPR051W	MAK3	1.25819e-05	0.000314109	-50.4076	13.9775	127.796	4.87279	1.6802	8	8	t-test	E
YPL086C	ELP3	7.61347e-05	0.00132357	-50.3274	9.81502	119.375	2.91492	13.8296	8	8	t-test	E
YMR073C	IRC21	6.4117e-06	0.00018386	-50.3068	14.0859	127.811	4.64634	2.36856	8	8	t-test	E
YBL039C	URA7	1.01169e-05	0.000264846	-50.0763	14.3929	127.963	5.28503	3.93108	8	8	t-test	E
YMR312W	ELP6	1.55808e-06	5.57533e-05	-49.5296	8.05119	114.291	4.58617	8.38957	8	8	t-test	E
YIL154C	IMP2'	1.01769e-05	0.000264846	-49.2558	11.0667	119.733	4.85942	2.53425	8	8	t-test	E
YLR233C	EST1	9.60481e-29	1.03108e-25	-48.9029	19.7671	136.301	2.36531	1.1639	56	56	t-test	E
YLR172C	DPH5	2.08405e-06	7.28256e-05	-48.569	19.0244	134.165	4.25174	3.21961	8	8	t-test	E
YHR111W	UBA4	6.16564e-05	0.00111533	-48.5034	13.0913	122.258	6.29164	4.01264	8	8	t-test	E
YBL088C	TEL1	1.79485e-07	1.07043e-05	-48.385	21.6781	139.067	3.57655	3.68457	8	8	t-test	E
YLR384C	IKI3	0.000416747	0.00545582	-48.3713	13.5544	122.915	4.72647	16.8272	8	8	t-test	E
YNL153C	GIM3	9.34853e-05	0.00158042	-48.3357	14.4036	124.53	6.79818	5.21461	8	8	t-test	E
YIL131C	FKH1	5.01362e-05	0.000952588	-47.357	20.2162	134.124	5.50567	1.3882	8	8	t-test	E
YGR200C	ELP2	3.49609e-07	1.75328e-05	-47.2447	8.75586	111.154	3.46712	2.88371	8	8	t-test	E
YML062C	MFT1	1.02389e-08	1.02246e-06	-47.2382	15.5817	124.69	2.63741	2.74792	8	8	t-test	E
YDR075W	PPH3	9.21337e-06	0.000251989	-47.2364	25.27	143.916	5.04557	4.17484	8	8	t-test	E
YPL179W	PPQ1	3.21152e-05	0.00066943	-46.9267	17.5179	127.915	5.18439	1.74032	8	8	t-test	E
