R package version: 0.0-30
Summary type: mean
Test type: t-test
x-axis treatment: 20
x-axis medium: SDM_rhk_CTGN
x-axis screen ID: QFA0141
x-axis screen name: Addinall et al. (2011) 20C ura3
x-axis libraries: SDLV2_384_SDLV3_384
x-axis client: DAL
x-axis user: SGA
x-axis date: 2010/01/18
x-axis PI: DAL
x-axis condition: SDM_rhk_CTGN
x-axis inoculation type: DIL
x-axis fitness definition: MDRMDP
y-axis treatment: 27
y-axis medium: SDM_rhk_CTGN
y-axis screen ID: QFA0141
y-axis screen name: Addinall et al. (2011) 27C ura3
y-axis libraries: SDLV2_384_SDLV3_384
y-axis client: DAL
y-axis user: SGA
y-axis date: 2010/01/18
y-axis PI: DAL
y-axis condition: SDM_rhk_CTGN
y-axis inoculation type: DIL
y-axis fitness definition: MDRMDP
#########################################################
ORF	Gene	P	Q	GIS	QueryFitnessSummary	ControlFitnessSummary	QuerySE	ControlSE	QueryCount	ControlCount	TestType	Type
YGL253W	HXK2	0.397295	1	-73.9108	117.672	113.28	4.2077	48.4317	8	8	t-test	E
YKL110C	KTI12	0.484276	1	-61.0644	127.541	111.519	15.0706	48.2533	8	8	t-test	E
YHR021C	RPS27B	0.0271039	0.722663	-40.0488	25.5074	38.7624	12.4543	6.09178	8	8	t-test	E
YGL218W	YGL218W	0.0603381	1	-38.5281	38.2034	45.3702	14.7616	6.84982	8	8	t-test	E
YNR050C	LYS9	0.0923379	1	-35.2037	10.4376	26.9871	10.4376	9.55896	8	8	t-test	E
YOR078W	BUD21	0.0920919	1	-30.4237	15.1717	26.9599	11.2123	7.40545	8	8	t-test	E
YNL298W	CLA4	0.265968	1	-28.2007	39.6978	40.1474	19.4582	8.56223	8	8	t-test	E
YPR069C	SPE3	0.139171	1	-26.5966	26.2954	31.2742	9.5611	8.19109	8	8	t-test	E
YCR081W	SRB8	0.154157	1	-26.5878	28.8937	32.8054	9.89543	8.54608	8	8	t-test	E
YLR371W	ROM2	0.220409	1	-25.9852	78.9307	62.0352	19.021	2.48536	8	8	t-test	E
YBR194W	AIM4	0.172274	1	-24.8012	51.2377	44.9607	13.0135	6.67032	8	8	t-test	E
YGR101W	PCP1	0.0375101	0.843289	-21.3566	14.3306	21.1013	4.29591	4.68187	8	8	t-test	E
