R package version: 0.0-12
Summary type: mean
Test type: t-test
Control treatment: 20C
Control medium: SDM_rhk_CTGN
Control screen ID: QFA0028
Control screen name: Addinall et al. (2011) ura3D
Control libraries: SDLV2_384_SDLV3_384
Control client: DAL
Control user: SGA
Control date: 2010/01/18
Query treatment: 23C
Query medium: SDM_rhk_CTGN
Query screen ID: QFA0035
Query screen name: Addinall et al. (2011) yku70D
Query libraries: SDLV2_384_SDLV3_384
Query client: DAL
Query user: SGA
Query date: 2009/08/28 
#########################################################
ORF	Gene	P	Q	GIS	QueryFitnessSummary	ControlFitnessSummary	QuerySE	ControlSE	QueryCount	ControlCount	TestType	Type
YMR284W	YKU70	1.72722e-18	6.74245e-16	-95.7877	0	81.693	0	1.53911	8	16	t-test	S
YJL130C	URA2	2.02173e-20	1.69442e-17	-95.7662	0	81.6747	0	1.14265	8	16	t-test	S
YMR283C	RIT1	1.70235e-19	8.1221e-17	-95.051	0	81.0647	0	1.3078	8	16	t-test	S
YMR285C	NGL2	2.36761e-20	1.69442e-17	-93.8977	0	80.0811	0	1.13224	8	16	t-test	S
YML106W	URA5	1.20643e-19	6.47552e-17	-90.017	0	76.7714	0	1.21033	8	16	t-test	S
YLR014C	PPR1	6.02413e-20	3.69537e-17	-87.9009	0	74.9667	0	1.12823	8	16	t-test	S
YIL009C-A	EST3	1.07655e-06	0.000200987	-87.604	6.05197	79.8749	6.05197	0.967419	8	16	t-test	S
YMR289W	ABZ2	7.60769e-08	2.33339e-05	-86.5669	4.70256	77.8396	4.70256	1.18811	8	16	t-test	S
YMR291W	YMR291W	0.00018114	0.0155563	-83.558	11.7878	81.3162	11.7878	1.12314	8	16	t-test	S
YLR420W	URA4	1.82024e-07	4.59771e-05	-83.5349	4.80421	75.3405	4.80421	1.01957	8	16	t-test	S
YNL257C	SIP3	0.000215096	0.0163978	-81.3942	11.9438	79.6038	11.9438	1.65625	8	16	t-test	S
YEL065W	SIT1	0.000507191	0.0265595	-80.3421	13.6508	80.1622	13.6508	2.43633	8	16	t-test	S
YNL259C	ATX1	0.000392772	0.0230637	-77.4691	12.4285	76.6696	12.4285	1.46934	8	16	t-test	S
YBL025W	RRN10	1.01153e-05	0.00144784	-72.7247	0	62.0236	0	9.54922	8	16	t-test	S
YNL265C	IST1	2.15586e-06	0.000370291	-72.1845	0	61.5629	0	8.29936	8	16	t-test	S
YMR278W	YMR278W	0.00116617	0.0463659	-71.9844	20.7103	79.0551	13.7091	0.801279	8	16	t-test	S
YCR071C	IMG2	4.36444e-09	1.56174e-06	-70.9898	0	60.544	0	5.04888	8	16	t-test	S
YKL216W	URA1	0.000745577	0.0333491	-70.4333	16.5018	74.1431	12.5052	1.27233	8	16	t-test	S
YLR233C	EST1	1.50399e-22	1.61453e-19	-68.2395	24.7492	79.3059	4.26035	0.447664	56	112	t-test	S
YMR279C	YMR279C	0.00284088	0.082017	-68.1162	23.2094	77.8875	15.2361	1.23928	8	16	t-test	S
YMR275C	BUL1	0.00318994	0.0878051	-66.6703	23.208	76.6532	15.204	0.785547	8	16	t-test	S
YDR369C	XRS2	5.9453e-19	2.55291e-16	-66.3266	0	56.567	0	0.992261	8	16	t-test	S
YMR280C	CAT8	0.00515567	0.12164	-64.7545	32.4844	82.9307	16.1905	0.948502	8	16	t-test	S
YBR036C	CSG2	6.61752e-07	0.000142078	-63.7667	2.5869	56.59	2.5869	6.91862	8	16	t-test	S
YJL071W	ARG2	1.43064e-07	3.83947e-05	-62.4519	0	53.2624	0	5.77434	8	16	t-test	S
YNL255C	GIS2	0.00143254	0.0516918	-60.7233	32.4423	79.4567	12.1148	1.64849	8	16	t-test	S
YNL081C	SWS2	0.000295118	0.0201149	-60.452	14.5536	63.9689	9.59972	2.15147	8	16	t-test	S
YEL061C	CIN8	0.00134809	0.0503364	-59.1427	11.685	60.4058	11.685	1.63113	8	16	t-test	S
YIL040W	APQ12	5.61923e-06	0.000861749	-58.7915	0	50.1406	0	7.33265	8	16	t-test	S
YGL168W	HUR1	0.000199051	0.0161269	-58.4902	8.50105	57.1338	8.50105	1.24035	8	16	t-test	S
YMR276W	DSK2	0.00590912	0.133546	-58.3271	37.4051	81.6457	14.9842	0.966189	8	16	t-test	S
YEL060C	PRB1	0.0118548	0.202002	-57.5031	34.6954	78.632	17.0609	1.25355	8	16	t-test	S
YMR274C	RCE1	0.0161428	0.237388	-56.6438	36.8484	79.7353	17.9845	0.816302	8	16	t-test	S
YFR025C	HIS2	1.99055e-08	6.57493e-06	-56.5608	3.87151	51.54	3.87151	4.58017	8	16	t-test	S
YMR292W	GOT1	0.0100917	0.182842	-55.9322	32.3295	75.2745	16.0369	1.25244	8	16	t-test	S
YMR224C	MRE11	4.15224e-76	1.78297e-72	-55.147	1.74687	48.5222	0.865926	1.17358	56	112	t-test	S
YGL167C	PMR1	0.000349102	0.0217253	-53.6558	12.8811	56.7463	8.43514	0.949025	8	16	t-test	S
YEL064C	AVT2	0.00021767	0.0163978	-53.4525	0	45.5872	0	9.42532	8	16	t-test	S
YBR122C	MRPL36	0.0365901	0.38043	-52.4101	41.1989	79.8349	20.3145	2.15566	8	16	t-test	S
YGR157W	CHO2	1.69214e-06	0.000302753	-51.8364	0	44.2089	0	5.84095	8	16	t-test	S
YHR041C	SRB2	9.4904e-07	0.000185235	-51.7229	4.39978	47.8645	4.39978	5.39159	8	16	t-test	S
YNL281W	HCH1	0.0126914	0.209604	-51.4876	40.8031	78.7105	15.5041	1.15516	8	16	t-test	S
YMR271C	URA10	0.02138	0.28335	-51.453	45.5985	82.7708	17.4464	1.98742	8	16	t-test	S
YNL278W	CAF120	0.0235976	0.299894	-51.2398	36.4059	74.749	17.7814	3.09876	8	16	t-test	S
YBR170C	NPL4	0.000444433	0.0249479	-50.5791	8.14517	50.0833	8.14517	7.61162	8	16	t-test	S
YPR024W	YME1	4.06503e-07	9.18697e-05	-50.5068	4.46824	46.8857	4.46824	2.32633	8	16	t-test	S
YEL063C	CAN1	0.000472033	0.0250236	-49.8918	2.9332	45.0521	2.9332	9.5391	8	16	t-test	S
YLR449W	FPR4	0.0125707	0.209219	-49.8423	37.8336	74.7748	14.9731	0.934914	8	16	t-test	S
YOL004W	SIN3	0.00121325	0.047442	-49.6015	17.0518	56.8456	9.53196	0.7467	8	16	t-test	S
YIL116W	HIS5	0.000222921	0.0165038	-49.3405	0	42.0803	0	8.72219	8	16	t-test	S
YNL266W	YNL266W	0.011556	0.200379	-48.9843	12.4435	52.3891	12.4435	10.5246	8	16	t-test	S
YOR302W	YOR302W	0.000217655	0.0163978	-47.8782	0	40.8331	0	8.44232	8	16	t-test	S
YGL253W	HXK2	0.244879	0.699958	-47.1622	85.6087	113.234	3.9348	33.09	8	16	t-test	S
YMR272C	SCS7	0.0253271	0.310912	-47.1548	43.3818	77.2146	16.6512	1.74431	8	16	t-test	S
YMR273C	ZDS1	0.0203129	0.274288	-47.124	50.4824	83.2441	15.7827	1.2165	8	16	t-test	S
YDL104C	QRI7	0.0172978	0.24925	-46.8781	39.9319	74.0364	15.1278	1.2592	8	16	t-test	S
YNR006W	VPS27	0.00732237	0.153842	-46.8537	23.8152	60.2703	12.6264	1.86647	8	16	t-test	S
YNL169C	PSD1	0.00175863	0.0575056	-46.834	19.9169	56.9288	9.74354	1.68402	8	16	t-test	S
YDR034C	LYS14	4.26022e-30	6.0978e-27	-46.596	1.57289	41.0811	1.57289	2.45303	56	112	t-test	S
