R package version: 0.0-30
Summary type: mean
Test type: t-test
x-axis treatment: 20
x-axis medium: SDM_rhk_CTGN
x-axis screen ID: QFA0141
x-axis screen name: Addinall et al. (2011) 20C ura3
x-axis libraries: SDLV2_384_SDLV3_384
x-axis client: DAL
x-axis user: SGA
x-axis date: 2010/01/18
x-axis PI: DAL
x-axis condition: SDM_rhk_CTGN
x-axis inoculation type: DIL
x-axis fitness definition: MDRMDP
y-axis treatment: 20
y-axis medium: SDM_rhlk_CTGH
y-axis screen ID: QFA0140
y-axis screen name: Addinall et al. (2011) 20C cdc13-1
y-axis libraries: SDLV2_384_SDLV3_384
y-axis client: DAL
y-axis user: SGA
y-axis date: 2009/11/16
y-axis PI: DAL
y-axis condition: SDM_rhlk_CTGH
y-axis inoculation type: DIL
y-axis fitness definition: MDRMDP
#########################################################
ORF	Gene	P	Q	GIS	QueryFitnessSummary	ControlFitnessSummary	QuerySE	ControlSE	QueryCount	ControlCount	TestType	Type
YMR207C	HFA1	1.00472e-05	0.00154081	-23.8952	42.1142	65.788	2.70792	2.21007	8	8	t-test	E
YEL060C	PRB1	0.10187	0.922041	-23.6698	55.9978	79.4005	12.5033	2.07857	8	8	t-test	E
YER061C	CEM1	0.00417669	0.172449	-23.5816	36.5366	59.9166	5.70418	0.99669	8	8	t-test	E
YHR067W	HTD2	0.000250843	0.0199467	-23.5401	35.0977	58.4412	3.60764	0.831662	8	8	t-test	E
YMR038C	CCS1	0.123638	1	-23.5254	18.1112	41.497	9.78113	10.472	8	8	t-test	E
YGL154C	LYS5	0.0776229	0.83537	-23.3667	15.5325	38.7687	6.47925	10.1785	8	8	t-test	E
YOL064C	MET22	0.0981287	0.910016	-23.349	8.63609	31.8778	3.36422	11.9897	8	8	t-test	E
YPR024W	YME1	0.0338391	0.560473	-23.3069	23.1767	46.3277	8.70269	3.34842	8	8	t-test	E
YGR193C	PDX1	0.00310086	0.144729	-22.9128	55.4338	78.0839	5.20736	0.478738	8	8	t-test	E
YBR093C	PHO5	0.0295502	0.537664	-22.8997	33.3133	56.0245	6.97964	6.33872	8	8	t-test	E
YNL170W	YNL170W	0.147701	1	-22.6981	11.9332	34.5151	7.82636	12.3455	8	8	t-test	E
YLR087C	CSF1	0.0932486	0.895771	-22.5621	26.9944	49.3903	7.12847	10.1367	8	8	t-test	E
YBL027W	RPL19B	0.240498	1	-22.2045	49.4355	71.3998	14.77	10.2878	8	8	t-test	E
YGR157W	CHO2	0.0764666	0.83126	-22.1279	22.4441	44.4226	7.71182	8.58011	8	8	t-test	E
YNR050C	LYS9	0.061545	0.748803	-21.832	5.24583	26.9871	3.44133	9.55896	8	8	t-test	E
YDR245W	MNN10	0.0822483	0.850657	-21.796	19.4359	41.0936	5.8327	9.80495	8	8	t-test	E
YHR178W	STB5	0.129633	1	-21.761	6.91674	28.5815	6.91674	11.3608	8	8	t-test	E
YOR350C	MNE1	3.63259e-06	0.000779918	-21.2566	46.4428	67.4724	0.874363	2.04082	8	8	t-test	E
YKL139W	CTK1	0.102258	0.922041	-21.09	15.0005	35.9695	8.82328	8.19016	8	8	t-test	E
YDL226C	GCS1	0.0429115	0.614178	-21.0496	33.3862	54.2533	8.48595	1.84862	8	8	t-test	E
YNL265C	IST1	0.323146	1	-20.921	42.3439	63.0527	16.048	12.5285	8	8	t-test	E
YNL169C	PSD1	0.0405354	0.606477	-20.7516	35.9526	56.514	8.19017	2.45755	8	8	t-test	E
YOR125C	CAT5	4.41678e-08	2.70938e-05	-20.7503	46.1542	66.6802	1.43287	1.30698	8	8	t-test	E
YHL007C	STE20	0.268945	1	-20.6656	20.2022	40.7308	13.2255	12.0903	8	8	t-test	E
YNR041C	COQ2	2.83763e-08	2.03079e-05	-20.4256	43.7298	63.9402	1.13318	1.38922	8	8	t-test	E
YLR239C	LIP2	0.0617318	0.748803	-20.2833	33.47	53.5731	9.11797	0.909016	8	8	t-test	E
YIL054W	YIL054W	0.289559	1	-20.2542	50.8335	70.8493	15.1904	10.1637	8	8	t-test	E
YER116C	SLX8	0.0775001	0.83537	-20.0415	22.2321	42.1319	7.9289	6.86511	8	8	t-test	E
YOR303W	CPA1	0.0924128	0.89374	-19.9801	8.27624	28.1616	4.12313	9.80205	8	8	t-test	E
YLR452C	SST2	0.170848	1	-19.9548	38.84	58.5977	12.2481	5.69128	8	8	t-test	E
YHR041C	SRB2	0.0602429	0.741212	-19.9152	31.6339	51.3762	4.74958	8.23233	8	8	t-test	E
YOR354C	MSC6	2.13166e-07	8.32122e-05	-19.7881	52.3251	71.8713	1.5431	1.43294	8	8	t-test	E
YPR066W	UBA3	3.93733e-06	0.000804152	-19.7683	50.8222	70.3538	2.0875	1.47228	8	8	t-test	E
YPL183W-A	RTC6	3.51619e-07	0.000116142	-19.7104	43.1922	62.6917	1.13731	1.65735	8	8	t-test	E
YML090W	YML090W	0.000187998	0.0155243	-19.6524	58.2967	77.6877	2.32368	3.03256	8	8	t-test	E
YOR065W	CYT1	4.12001e-06	0.000804152	-19.5953	43.4997	62.8834	1.98597	1.80003	8	8	t-test	E
YLR038C	COX12	1.83609e-07	8.28268e-05	-19.4349	44.665	63.8849	1.03043	1.53649	8	8	t-test	E
YMR202W	ERG2	0.176941	1	-19.2566	15.3015	34.4422	8.74403	10.2815	8	8	t-test	E
YLR089C	ALT1	0.161724	1	-19.2457	11.7389	30.8807	7.70996	10.3885	8	8	t-test	E
YER153C	PET122	6.36746e-06	0.00105161	-19.1309	48.0548	66.9604	1.86647	1.98799	8	8	t-test	E
YBR221C	PDB1	0.00521022	0.189721	-18.9482	56.0053	74.7021	4.72779	2.8025	8	8	t-test	E
YHR116W	COX23	1.92809e-05	0.0023655	-18.7543	48.0543	66.5846	2.31721	1.48651	8	8	t-test	E
YCL044C	MGR1	9.03815e-05	0.00825741	-18.727	56.5621	75.0366	2.25037	2.58162	8	8	t-test	E
YHL023C	NPR3	0.0162673	0.388066	-18.708	40.2006	58.7111	5.94923	1.94635	8	8	t-test	E
YNL064C	YDJ1	0.0425992	0.612452	-18.694	21.1213	39.6818	5.80813	6.02076	8	8	t-test	E
YJL204C	RCY1	0.167071	1	-18.6092	28.3318	46.7836	9.15336	8.87213	8	8	t-test	E
YKL212W	SAC1	0.277715	1	-18.4428	18.968	37.2854	7.06825	14.3965	8	8	t-test	E
YGR097W	ASK10	0.119148	0.976494	-18.3543	5.27437	23.5494	3.52338	9.98509	8	8	t-test	E
YDR034C	LYS14	0.000101187	0.00886726	-18.2896	24.6964	42.8419	2.90904	3.45787	56	56	t-test	E
YPL172C	COX10	4.05467e-05	0.00435268	-18.2419	47.7016	65.7223	1.37603	2.41843	8	8	t-test	E
YNL003C	PET8	8.63694e-05	0.0080624	-18.2187	45.4822	63.4873	2.18161	2.49832	8	8	t-test	E
YML013C-A	YML013C-A	0.02988	0.539794	-17.9903	40.1245	57.9198	5.75021	4.65522	8	8	t-test	E
YIL084C	SDS3	0.0379401	0.588997	-17.9785	47.3387	65.0982	7.01834	1.45241	8	8	t-test	E
YGR183C	QCR9	2.84931e-07	0.000101958	-17.9036	49.9353	67.6115	1.19989	1.47579	8	8	t-test	E
YNL259C	ATX1	0.234525	1	-17.647	61.0008	78.3841	13.4322	2.3769	8	8	t-test	E
YKL167C	MRP49	0.0157233	0.380754	-17.6274	38.6965	56.135	5.57628	1.28144	8	8	t-test	E
YER178W	PDA1	0.0119922	0.339986	-17.4561	49.8997	67.13	5.21455	1.48916	8	8	t-test	E
YDR375C	BCS1	1.9289e-07	8.28268e-05	-17.4517	47.6876	64.9209	1.1083	1.39516	8	8	t-test	E
YMR256C	COX7	0.000656776	0.0433877	-17.4299	47.878	65.0889	1.18714	3.18442	8	8	t-test	E
YNL052W	COX5A	6.35964e-05	0.00620643	-17.3258	61.0136	78.0767	1.60149	2.41926	8	8	t-test	E
YPR134W	MSS18	1.77213e-05	0.00234312	-17.0031	46.0011	62.793	1.7624	1.98176	8	8	t-test	E
YKL087C	CYT2	2.02065e-06	0.000482037	-16.7533	55.9261	72.4357	1.57208	1.47886	8	8	t-test	E
YKL208W	CBT1	5.34032e-07	0.000163795	-16.2892	58.1717	74.2112	1.18891	1.40736	8	8	t-test	E
YPR191W	QCR2	1.78679e-06	0.000451323	-15.9624	45.2139	60.9712	1.2805	1.53581	8	8	t-test	E
YMR115W	FMP24	0.000281028	0.0219406	-15.8296	53.4803	69.0775	2.19304	2.43634	8	8	t-test	E
YLR218C	COA4	3.45656e-05	0.00380576	-15.7765	52.634	68.181	1.6718	1.99798	8	8	t-test	E
YOR037W	CYC2	3.44695e-06	0.000779011	-15.6789	56.5095	71.9463	1.40794	1.567	8	8	t-test	E
YNL257C	SIP3	0.167153	1	-15.6649	65.537	80.9296	9.97821	2.53868	8	8	t-test	E
YEL062W	NPR2	0.301098	1	-15.5765	31.4924	46.9111	9.94329	10.5249	8	8	t-test	E
YDR290W	YDR290W	0.0481481	0.656342	-15.5684	41.4678	56.8449	6.34397	2.53451	8	8	t-test	E
YGL127C	SOH1	0.133379	1	-15.3771	27.0637	42.2985	7.33013	6.23295	8	8	t-test	E
YGR174C	CBP4	2.02095e-05	0.00241054	-15.3123	49.8004	64.8943	1.89534	1.13019	8	8	t-test	E
YOR297C	TIM18	0.327928	1	-15.1614	33.6555	48.6531	10.1854	10.9119	8	8	t-test	E
YBR231C	SWC5	0.0859473	0.864304	-15.141	44.745	59.6852	7.14384	3.51749	8	8	t-test	E
YDL013W	HEX3	0.276744	1	-15.1091	10.8185	25.8407	6.88275	11.2677	8	8	t-test	E
YDR116C	MRPL1	7.68172e-05	0.00733006	-14.6726	38.7071	53.2006	1.19825	2.09162	8	8	t-test	E
YCR071C	IMG2	0.184741	1	-14.4843	46.284	60.5645	7.18181	7.47154	8	8	t-test	E
YNL266W	YNL266W	0.521143	1	-14.323	39.1748	53.3184	15.0045	15.71	8	8	t-test	E
YER069W	ARG5	0.321496	1	-14.2648	5.58193	19.7802	3.6868	12.9556	8	8	t-test	E
YDL213C	NOP6	0.318853	1	-14.2308	58.042	72.0304	13.2247	1.19059	8	8	t-test	E
YML103C	NUP188	0.0883182	0.879903	-14.191	46.9093	60.8954	7.07281	1.82371	8	8	t-test	E
YDL033C	SLM3	0.169928	1	-14.1599	10.3567	24.4344	3.97517	8.66405	8	8	t-test	E
YOR017W	PET127	4.71478e-05	0.00493787	-13.9756	59.1705	72.9009	1.78501	1.60734	8	8	t-test	E
YML009C	MRPL39	0.00033777	0.0254453	-13.8003	58.2992	71.8577	2.21951	1.87499	8	8	t-test	E
YLR193C	UPS1	0.0760727	0.830326	-13.7882	42.3411	55.9411	6.55389	1.6179	8	8	t-test	E
YDR336W	YDR336W	0.0147323	0.372458	-13.6475	67.2673	80.6434	4.15469	2.16565	8	8	t-test	E
YGL029W	CGR1	0.450969	1	-13.5188	28.2585	41.6373	12.2783	12.3344	8	8	t-test	E
YOL058W	ARG1	0.179295	1	-13.5127	2.53671	15.9955	2.53671	8.81046	8	8	t-test	E
YNL106C	INP52	0.195848	1	-13.4082	14.3282	27.6434	5.05671	8.32557	8	8	t-test	E
YKR016W	MIC60	5.51734e-05	0.00550965	-13.2883	47.636	60.72	1.83532	1.12721	8	8	t-test	E
YOR275C	RIM20	0.00101583	0.0597531	-13.108	59.584	72.4482	2.57491	1.51917	8	8	t-test	E
YNL071W	LAT1	0.0787031	0.837209	-13.1068	58.8099	71.6755	6.16946	2.37756	8	8	t-test	E
