R package version: 0.0-13
Summary type: mean
Test type: t-test
Control treatment: 20C
Control medium: SDM_rhk_CTGN
Control screen ID: QFA0028
Control screen name: Addinall et al. (2011) ura3D
Control libraries: SDLV2_384_SDLV3_384
Control client: DAL
Control user: SGA
Control date: 2010/01/18
Query treatment: 20C
Query medium: SDM_rhlk_CTGH
Query screen ID: QFA0029
Query screen name: Addinall et al. (2011) cdc13-1
Query libraries: SDLV2_384_SDLV3_384
Query client: DAL
Query user: SGA
Query date: 2009/11/16
#########################################################
ORF	Gene	P	Q	GIS	QueryFitnessSummary	ControlFitnessSummary	QuerySE	ControlSE	QueryCount	ControlCount	TestType	Type
YGR193C	PDX1	0.00232546	0.109731	-23.6044	52.1363	77.1599	0.648669	5.1042	8	8	t-test	E
YPL180W	TCO89	0.0677187	0.778939	-23.4047	16.9282	41.0887	7.75987	9.00425	8	8	t-test	E
YLR239C	LIP2	0.0288237	0.511441	-23.3286	29.7567	54.08	1.11307	8.5045	8	8	t-test	E
YMR038C	CCS1	0.117062	0.987162	-23.1697	17.5157	41.4477	10.4394	9.33819	8	8	t-test	E
YBR221C	PDB1	3.92e-05	0.00465127	-23.0271	50.6676	75.0755	2.53831	2.9532	8	8	t-test	E
YLR087C	CSF1	0.0768629	0.818981	-22.8042	25.1911	48.8945	10.0547	6.44476	8	8	t-test	E
YNL169C	PSD1	0.018753	0.407256	-22.6632	33.2185	56.9288	2.46516	7.43228	8	8	t-test	E
YOL064C	MET22	0.101156	0.932115	-22.2983	8.63609	31.514	11.8111	3.36422	8	8	t-test	E
YEL060C	PRB1	0.114314	0.98455	-22.1728	55.0129	78.632	1.835	12.2351	8	8	t-test	E
YDL226C	GCS1	0.0299728	0.518965	-21.7889	31.7782	54.5708	1.97457	7.99944	8	8	t-test	E
YGR157W	CHO2	0.0718201	0.794834	-21.7773	21.6185	44.2089	8.55027	7.36609	8	8	t-test	E
YHR041C	SRB2	0.0408411	0.603665	-21.6542	25.33	47.8645	7.89248	5.51222	8	8	t-test	E
YBL027W	RPL19B	0.240185	1	-21.448	47.7073	70.4511	10.1321	14.2679	8	8	t-test	E
YIR034C	LYS1	0.0906712	0.875606	-21.2725	0	21.6711	11.0504	0	8	8	t-test	E
YBR093C	PHO5	0.0410997	0.603665	-20.8272	33.261	55.1018	6.18672	6.96619	8	8	t-test	E
YDR245W	MNN10	0.087143	0.864185	-20.6346	19.0274	40.4052	9.62729	5.69575	8	8	t-test	E
YHL007C	STE20	0.254771	1	-20.4424	19.234	40.4198	11.952	12.5918	8	8	t-test	E
YIL054W	YIL054W	0.269085	1	-20.3705	48.7998	70.4664	10.1073	14.5417	8	8	t-test	E
YNL265C	IST1	0.325747	1	-19.8593	40.5713	61.5629	12.149	15.3726	8	8	t-test	E
YOR303W	CPA1	0.0956953	0.901131	-19.3138	8.27624	28.107	9.77433	4.12313	8	8	t-test	E
YOR350C	MNE1	3.16145e-06	0.000754182	-19.2912	47.5681	68.1121	1.84254	0.740745	8	8	t-test	E
YKL139W	CTK1	0.124269	1	-19.1429	14.9874	34.7698	7.82958	8.81173	8	8	t-test	E
YOR125C	CAT5	2.00285e-07	9.56643e-05	-19.1347	46.6733	67.041	1.1505	1.54285	8	8	t-test	E
YIL116W	HIS5	0.273308	1	-18.9898	22.3165	42.0803	12.768	10.9481	8	8	t-test	E
YNL003C	PET8	4.42412e-06	0.00094986	-18.8677	43.7298	63.7704	1.88452	1.84575	8	8	t-test	E
YLR452C	SST2	0.181902	1	-18.6535	38.0659	57.7821	5.46138	11.8193	8	8	t-test	E
YLR089C	ALT1	0.167906	1	-18.6516	11.7165	30.9371	10.3839	7.69669	8	8	t-test	E
YNR041C	COQ2	9.94241e-08	7.11545e-05	-18.4913	44.5395	64.2119	1.34735	1.30532	8	8	t-test	E
YER153C	PET122	3.43672e-06	0.000776698	-18.4252	48.3618	68.0384	1.78368	1.77754	8	8	t-test	E
YMR202W	ERG2	0.189037	1	-18.2561	15.2066	34.0896	10.1572	8.66559	8	8	t-test	E
YNL064C	YDJ1	0.04599	0.637036	-17.8324	21.0469	39.6079	5.86396	5.76162	8	8	t-test	E
YHL023C	RMD11	0.021505	0.434976	-17.8159	40.6108	59.5214	2.08743	6.01584	8	8	t-test	E
YCL044C	MGR1	0.000224693	0.0175424	-17.8158	55.2842	74.4697	2.59974	2.56647	8	8	t-test	E
YML090W	YML090W	0.00016483	0.0136111	-17.7526	58.4756	77.6565	2.80665	1.88613	8	8	t-test	E
YKL212W	SAC1	0.282121	1	-17.6024	18.5003	36.7791	14.1834	6.8089	8	8	t-test	E
YOR354C	MSC6	7.10049e-07	0.000254079	-17.4822	53.0807	71.885	1.4363	1.50364	8	8	t-test	E
YLR038C	COX12	1.78342e-07	9.56643e-05	-17.478	45.9386	64.6049	1.42136	1.07048	8	8	t-test	E
YOR065W	CYT1	8.98955e-06	0.00142967	-17.437	44.4736	63.0706	0.961444	1.92269	8	8	t-test	E
YPL183W-A	RTC6	2.23645e-07	9.6033e-05	-17.3378	43.3745	61.8498	1.43835	1.05087	8	8	t-test	E
YPL172C	COX10	1.69421e-05	0.00234676	-17.1796	48.8078	67.2238	2.08696	1.66802	8	8	t-test	E
YIL084C	SDS3	0.0443356	0.624188	-17.1394	46.2432	64.5702	1.50976	6.97325	8	8	t-test	E
YPR066W	UBA3	7.05354e-06	0.00131687	-17.0121	50.3728	68.6475	1.62466	1.83799	8	8	t-test	E
YIL020C	HIS6	0.196154	1	-16.9983	14.4214	32.0083	11.2959	5.25997	8	8	t-test	E
YMR256C	COX7	0.000719339	0.0447658	-16.9982	47.3925	65.5972	3.252	1.45123	8	8	t-test	E
YKL167C	MRP49	0.0213228	0.434976	-16.8629	39.5926	57.5133	1.20041	5.71316	8	8	t-test	E
YER178W	PDA1	0.00728115	0.235077	-16.8191	48.9628	67.0144	1.603	4.55715	8	8	t-test	E
YNL259C	ATX1	0.249732	1	-16.4513	58.8081	76.6696	2.15089	12.9968	8	8	t-test	E
YHR116W	COX23	6.37601e-05	0.00651871	-16.3342	49.1325	66.6934	1.47953	2.29192	8	8	t-test	E
YPR191W	QCR2	2.41349e-06	0.000609619	-16.2208	44.2555	61.6094	1.49647	0.594775	8	8	t-test	E
YDR034C	LYS14	0.000463098	0.0320733	-16.0763	24.2492	41.0811	3.48484	2.84483	56	56	t-test	E
YPL090C	RPS6A	0.23897	1	-16.0577	53.0637	70.4165	1.57424	12.4145	8	8	t-test	E
YCR071C	IMG2	0.146974	1	-15.9393	43.4911	60.544	7.3908	7.42502	8	8	t-test	E
