R package version: 0.0-12
Summary type: mean
Test type: t-test
Control treatment: 37C
Control medium: SDM_rhk_CTGN
Control screen ID: QFA0028
Control screen name: Addinall et al. (2011) ura3D
Control libraries: SDLV2_384_SDLV3_384
Control client: DAL
Control user: SGA
Control date: 2010/01/18
Query treatment: 37C
Query medium: SDM_rhk_CTGN
Query screen ID: QFA0035
Query screen name: Addinall et al. (2011) yku70D
Query libraries: SDLV2_384_SDLV3_384
Query client: DAL
Query user: SGA
Query date: 2009/08/28 
#########################################################
ORF	Gene	P	Q	GIS	QueryFitnessSummary	ControlFitnessSummary	QuerySE	ControlSE	QueryCount	ControlCount	TestType	Type
YMR283C	RIT1	2.22531e-23	3.18516e-20	-109.706	0	141.299	0	1.25425	8	16	t-test	E
YMR285C	NGL2	5.26574e-22	5.65277e-19	-105.291	0	135.613	0	1.48689	8	16	t-test	E
YJL130C	URA2	1.87142e-07	3.49386e-05	-101.297	5.9674	138.155	5.9674	2.06017	8	16	t-test	E
YLR420W	URA4	1.35269e-10	4.84037e-08	-100.66	3.83842	134.592	3.83842	2.53309	8	16	t-test	E
YKL216W	URA1	7.01654e-18	4.30415e-15	-98.2526	0	126.547	0	2.61907	8	16	t-test	E
YMR289W	ABZ2	4.8768e-08	1.04705e-05	-97.9369	5.26149	132.918	5.26149	2.24007	8	16	t-test	E
YIL009C-A	EST3	1.20634e-14	5.18001e-12	-97.1002	3.10123	129.058	3.10123	3.59728	8	16	t-test	E
YML106W	URA5	3.54005e-10	1.16931e-07	-95.9334	3.52001	128.094	3.52001	1.98374	8	16	t-test	E
YLR014C	PPR1	1.87662e-09	5.65902e-07	-94.7017	6.32664	130.123	4.17499	2.38613	8	16	t-test	E
YPR046W	MCM16	3.89325e-09	9.83388e-07	-91.7412	10.1636	131.251	5.00031	3.49171	8	16	t-test	E
YJR084W	CSN12	6.46251e-05	0.00555	-89.2915	10.8663	129.001	10.8663	2.09788	8	16	t-test	E
YEL065W	SIT1	0.000827351	0.037464	-88.9314	16.1605	135.356	16.1605	3.21282	8	16	t-test	E
YBL088C	TEL1	0.000126869	0.00893076	-86.2828	17.4228	133.571	11.5509	1.85922	8	16	t-test	E
YGL066W	SGF73	8.67287e-16	4.13792e-13	-84.5007	0	108.835	0	3.114	8	16	t-test	E
YNL257C	SIP3	0.000587878	0.0296982	-82.5235	14.457	124.909	14.457	4.43522	8	16	t-test	E
