R package version: 0.0-30
Summary type: mean
Test type: t-test
x-axis treatment: 37
x-axis medium: SDM_rhk_CTGN
x-axis screen ID: QFA0141
x-axis screen name: Addinall et al. (2011) 37C ura3
x-axis libraries: SDLV2_384_SDLV3_384
x-axis client: DAL
x-axis user: SGA
x-axis date: 2010/01/18
x-axis PI: DAL
x-axis condition: SDM_rhk_CTGN
x-axis inoculation type: DIL
x-axis fitness definition: MDRMDP
y-axis treatment: 37
y-axis medium: SDM_rhk_CTGN
y-axis screen ID: QFA0139
y-axis screen name: Addinall et al. (2011) 37C yku70
y-axis libraries: SDLV2_384_SDLV3_384
y-axis client: DAL
y-axis user: SGA
y-axis date: 2009/08/28
y-axis PI: DAL
y-axis condition: SDM_rhk_CTGN
y-axis inoculation type: DIL
y-axis fitness definition: MDRMDP
#########################################################
ORF	Gene	P	Q	GIS	QueryFitnessSummary	ControlFitnessSummary	QuerySE	ControlSE	QueryCount	ControlCount	TestType	Type
YNL259C	ATX1	0.00966091	0.231975	-114.246	12.5297	161.127	12.5297	41.4589	8	8	t-test	E
YMR283C	RIT1	2.6816e-11	1.91913e-08	-111.872	0	142.185	0	1.98116	8	8	t-test	E
YMR285C	NGL2	1.12164e-10	4.95165e-08	-106.301	0	135.104	0	2.31018	8	8	t-test	E
YJL130C	URA2	5.8662e-08	1.39941e-05	-103.108	5.9674	138.63	5.9674	2.909	8	8	t-test	E
YLR420W	URA4	1.61416e-11	1.38624e-08	-101.981	3.83842	134.492	3.83842	3.78292	8	8	t-test	E
YKL216W	URA1	1.13933e-08	3.76328e-06	-99.0607	0	125.902	0	4.17619	8	8	t-test	E
YMR289W	ABZ2	9.52183e-09	3.40723e-06	-98.9902	5.26149	132.499	5.26149	3.2321	8	8	t-test	E
YIL009C-A	EST3	4.2275e-11	2.26911e-08	-97.9626	3.10123	128.448	3.10123	5.05716	8	8	t-test	E
YML106W	URA5	9.3543e-12	1.00418e-08	-96.5488	3.52001	127.183	3.52001	3.80499	8	8	t-test	E
YOR054C	VHS3	0.0166205	0.272399	-96.3523	26.4753	156.109	9.27704	39.1662	8	8	t-test	E
YLR014C	PPR1	1.15316e-10	4.95165e-08	-94.7226	6.32664	128.429	4.17499	4.24353	8	8	t-test	E
YPR046W	MCM16	1.3954e-09	5.44715e-07	-93.3136	10.1636	131.515	5.00031	5.02689	8	8	t-test	E
YEL065W	SIT1	0.000616294	0.0518895	-91.3459	15.9412	136.357	15.9412	3.91922	8	8	t-test	E
YJR084W	CSN12	5.28409e-05	0.00810353	-89.7807	11.0174	128.11	11.0174	3.4327	8	8	t-test	E
YBL088C	TEL1	9.36498e-05	0.0125666	-85.4435	17.4453	130.767	11.5627	4.18674	8	8	t-test	E
YGL066W	SGF73	4.30795e-08	1.15615e-05	-83.2502	0	105.807	0	4.2508	8	8	t-test	E
YNL257C	SIP3	0.0004542	0.0433408	-82.6978	14.4339	123.45	14.4339	7.2027	8	8	t-test	E
YMR291W	TDA1	0.00184363	0.108375	-82.607	20.8877	131.537	17.1481	2.81499	8	8	t-test	E
YGL016W	KAP122	5.53943e-08	1.3992e-05	-80.6735	7.96015	112.65	5.2159	3.31615	8	8	t-test	E
YBL027W	RPL19B	7.17978e-05	0.0102767	-79.7891	11.0712	115.48	11.0712	6.3286	8	8	t-test	E
YPR119W	CLB2	1.59935e-28	6.8676e-25	-79.7791	17.6774	123.863	3.82442	0.93578	56	56	t-test	E
YCR095C	OCA4	1.40034e-08	4.29506e-06	-79.511	28.9986	137.911	5.12263	4.90721	8	8	t-test	E
YMR278W	PRM15	0.0018929	0.108375	-79.1154	24.7539	132.013	16.5218	2.94858	8	8	t-test	E
YMR166C	YMR166C	0.0454513	0.370056	-77.9973	35.5652	144.333	15.5317	38.8983	8	8	t-test	E
YMR284W	YKU70	0.000317009	0.0337574	-76.831	0	97.6489	0	14.8943	8	8	t-test	E
YLR233C	EST1	2.03797e-24	4.37552e-21	-76.7732	25.2255	129.636	4.44271	1.12435	56	56	t-test	E
YDR025W	RPS11A	6.54087e-07	0.000133745	-76.5506	13.9212	114.986	5.54393	2.26962	8	8	t-test	E
YMR216C	SKY1	0.000745277	0.0561442	-75.7741	25.1348	128.251	13.8155	4.45326	8	8	t-test	E
YNL265C	IST1	0.00273196	0.126486	-75.6538	0	96.1528	0	21.2725	8	8	t-test	E
YNR024W	MPP6	0.00139712	0.093738	-74.424	30.7306	133.647	14.7199	2.42113	8	8	t-test	E
YFR025C	HIS2	0.000176194	0.0229266	-74.2763	3.1495	98.4049	3.1495	13.9837	8	8	t-test	E
YBL025W	RRN10	0.00788631	0.214328	-73.6049	0	93.5487	0	25.4385	8	8	t-test	E
YDR067C	OCA6	1.06355e-07	2.40363e-05	-71.5964	27.3195	125.718	4.56249	2.38157	8	8	t-test	E
YCR034W	ELO2	5.23211e-07	0.000112333	-70.9783	26.2197	123.535	6.12686	6.6331	8	8	t-test	E
YMR279C	YMR279C	0.0154732	0.266142	-69.2584	33.2798	130.322	21.7875	2.24533	8	8	t-test	E
YNR025C	YNR025C	0.000574754	0.0503672	-68.198	26.1662	119.933	11.528	1.12343	8	8	t-test	E
YNL032W	SIW14	0.00509146	0.176312	-65.4429	38.8166	132.509	16.3509	2.15924	8	8	t-test	E
YEL064C	AVT2	0.0126265	0.254999	-64.9301	0	82.5233	0	24.797	8	8	t-test	E
YBR034C	HMT1	0.000777895	0.0575911	-64.8798	37.5245	130.151	12.1057	5.10066	8	8	t-test	E
YJL071W	ARG2	0.00298152	0.133361	-63.9014	0	81.216	0	18.2621	8	8	t-test	E
YHR077C	NMD2	9.44268e-20	1.35156e-16	-63.6583	32.7406	122.519	4.62819	1.21632	56	56	t-test	E
YDR372C	VPS74	0.00225576	0.117424	-63.6581	20.1495	106.516	11.9826	15.4721	8	8	t-test	E
YMR280C	CAT8	0.0290108	0.325255	-62.4381	46.0581	137.894	22.7983	3.80648	8	8	t-test	E
YLR085C	ARP6	3.12956e-06	0.000516859	-62.1209	19.1468	103.288	6.0633	3.69922	8	8	t-test	E
YBR095C	RXT2	8.42057e-07	0.000157208	-61.315	14.9329	96.9078	5.6778	9.97247	16	16	t-test	E
YGR072W	UPF3	0.00261908	0.126363	-60.9114	33.6748	120.215	13.5315	3.01945	8	8	t-test	E
YDR024W	FYV1	0.000384218	0.0392817	-60.9097	33.7868	120.355	10.519	6.31479	8	8	t-test	E
YOR069W	VPS5	0.000246277	0.0285815	-60.8913	8.01819	87.5811	5.53329	12.6989	8	8	t-test	E
YMR292W	GOT1	0.0246971	0.311154	-59.4521	36.6785	122.178	20.8495	5.51358	8	8	t-test	E
YPR060C	ARO7	6.89623e-07	0.000134602	-59.3789	17.8675	98.1768	5.32121	4.56999	8	8	t-test	E
YLR015W	BRE2	0.000208303	0.0255558	-59.2553	5.78857	82.668	5.78857	12.1028	8	8	t-test	E
YOL013W-A	YOL013W-A	0.0973191	0.449846	-59.0941	66.7059	159.886	11.9682	37.7531	8	8	t-test	E
YDR075W	PPH3	0.0102644	0.233905	-59.0715	36.2077	121.096	17.0921	7.41788	8	8	t-test	E
YNL281W	HCH1	0.0242325	0.31061	-58.292	42.7908	128.472	20.3488	5.49593	8	8	t-test	E
YEL061C	CIN8	0.00188437	0.108375	-58.1724	7.12968	82.9962	7.12968	15.8677	8	8	t-test	E
YKL037W	AIM26	0.00247329	0.120685	-57.7243	39.0281	122.968	12.7179	3.09228	8	8	t-test	E
YDR120C	TRM1	0.000322322	0.0337574	-57.5304	8.38575	83.7766	5.52398	12.4057	8	8	t-test	E
YCR071C	IMG2	0.00575954	0.190349	-57.5216	0	73.1075	0	18.6566	8	8	t-test	E
YBR187W	GDT1	0.000743712	0.0561442	-57.1801	38.7941	121.979	10.3968	3.20767	8	8	t-test	E
YLR449W	FPR4	0.0120936	0.254559	-57.0678	39.6984	122.986	17.072	5.22795	8	8	t-test	E
YDR431W	YDR431W	0.0106351	0.240025	-57.0026	24.8276	104.003	14.7622	15.7257	8	8	t-test	E
YEL060C	PRB1	0.0205438	0.289771	-56.5274	44.2445	128.077	18.988	3.32898	8	8	t-test	E
YER176W	ECM32	0.0142813	0.258751	-56.1037	46.8439	130.842	17.3707	3.99639	8	8	t-test	E
YGR229C	SMI1	0.00843047	0.218075	-55.6254	0	70.6975	0	19.4916	8	8	t-test	E
YMR276W	DSK2	0.0398609	0.354374	-55.5829	48.5277	132.32	22.0235	4.4012	8	8	t-test	E
YBL047C	EDE1	0.00732713	0.214328	-55.536	34.8142	114.831	14.9264	2.3629	8	8	t-test	E
YNL081C	SWS2	0.00186659	0.108375	-55.5306	15.1058	89.7759	9.90944	13.4766	8	8	t-test	E
YBR227C	MCX1	0.00457344	0.166427	-55.5	44.2862	126.824	13.7694	4.82068	8	8	t-test	E
YAL023C	PMT2	0.00147483	0.0974296	-55.3629	29.2509	107.54	11.1543	2.72193	8	8	t-test	E
YML117W-A	YML117W-A	0.0107169	0.240025	-55.2853	47.7999	131.017	16.1228	4.53667	8	8	t-test	E
YOR123C	LEO1	0.00239019	0.118395	-55.1685	0	70.1169	0	15.1354	8	8	t-test	E
YNL278W	CAF120	0.0273309	0.319334	-55.1415	37.898	118.249	19.1973	12.1818	8	8	t-test	E
YEL062W	NPR2	0.0150098	0.26307	-55.0553	14.9758	89.0065	11.8451	19.9467	8	8	t-test	E
YER161C	SPT2	0.00786667	0.214328	-55.0263	33.3528	112.326	12.0902	16.5138	8	8	t-test	E
YDR162C	NBP2	0.0246912	0.311154	-54.8508	0	69.7131	0	24.4614	8	8	t-test	E
YJL169W	YJL169W	0.015495	0.266142	-54.8329	36.159	115.647	17.2884	4.5282	8	8	t-test	E
YMR272C	SCS7	0.0232086	0.307046	-54.5823	37.6287	117.196	18.8525	5.58236	8	8	t-test	E
YMR080C	NAM7	0.0108781	0.242023	-54.5163	47.4364	129.578	15.9091	2.97965	8	8	t-test	E
YLR055C	SPT8	6.78607e-05	0.0100481	-54.3971	28.7141	105.631	7.43177	3.98886	8	8	t-test	E
YIR023W	DAL81	0.00611293	0.195888	-54.226	13.36	85.8989	9.10432	17.3243	8	8	t-test	E
YOL081W	IRA2	0.00102757	0.0723345	-54.1908	3.17437	72.9087	3.17437	13.3409	8	8	t-test	E
YKR010C	TOF2	0.00915984	0.227355	-54.1675	49.4789	131.73	15.2808	3.72261	8	8	t-test	E
YNL273W	TOF1	0.0141207	0.258751	-53.8662	16.6524	89.6261	10.9285	19.6379	8	8	t-test	E
YMR179W	SPT21	0.000408328	0.0398491	-53.4644	29.9461	106.011	8.91688	3.04827	8	8	t-test	E
YBR036C	CSG2	0.0269917	0.316684	-53.2385	0	67.6639	0	24.271	8	8	t-test	E
YML107C	PML39	0.000514683	0.0480446	-53.2158	45.7614	125.796	9.41714	4.45399	8	8	t-test	E
YNL266W	YNL266W	0.0558223	0.386796	-53.1441	15.3967	87.1125	15.3967	25.5603	8	8	t-test	E
YAL056W	GPB2	0.00415755	0.159397	-53.114	48.0356	128.557	12.9987	5.39735	8	8	t-test	E
