R package version: 0.0-13
Summary type: mean
Test type: t-test
Control treatment: 37C
Control medium: SDM_rhk_CTGN
Control screen ID: QFA0028
Control screen name: Addinall et al. (2011) ura3D
Control libraries: SDLV2_384_SDLV3_384
Control client: DAL
Control user: SGA
Control date: 2010/01/18
Query treatment: 36C
Query medium: SDM_rhlk_CTGH
Query screen ID: QFA0029
Query screen name: Addinall et al. (2011) cdc13-1
Query libraries: SDLV2_384_SDLV3_384
Query client: DAL
Query user: SGA
Query date: 2009/11/16
#########################################################
ORF	Gene	P	Q	GIS	QueryFitnessSummary	ControlFitnessSummary	QuerySE	ControlSE	QueryCount	ControlCount	TestType	Type
YLL013C	PUF3	1.66607e-06	2.54504e-06	-2.1838	0	151.101	10.3286	0	8	8	t-test	E
YDR073W	SNF11	2.07004e-08	3.64741e-08	-2.16632	0	149.892	5.41815	0	8	8	t-test	E
YJR131W	MNS1	1.18235e-09	4.73828e-09	-2.16471	0	149.781	3.58872	0	8	8	t-test	E
YDR297W	SUR2	2.32296e-08	4.04986e-08	-2.16122	0	149.539	5.4959	0	8	8	t-test	E
YDR406W	PDR15	2.39595e-08	4.16527e-08	-2.12961	0	147.352	5.43971	0	8	8	t-test	E
YKR076W	ECM4	8.507e-08	1.3615e-07	-2.12369	0	146.943	6.51305	0	8	8	t-test	E
YGL062W	PYC1	4.85156e-09	1.15028e-08	-2.12186	0	146.815	4.30757	0	8	8	t-test	E
YKL025C	PAN3	2.34328e-10	2.30082e-09	-2.11949	0	146.651	2.78655	0	8	8	t-test	E
YBR201W	DER1	3.88181e-11	1.35772e-09	-2.11772	0	146.529	2.15261	0	8	8	t-test	E
YPL181W	CTI6	1.52045e-10	2.05309e-09	-2.11507	0	146.346	2.61378	0	8	8	t-test	E
YAL051W	OAF1	1.40803e-07	2.21956e-07	-2.10855	0	145.895	6.95584	0	8	8	t-test	E
YKL077W	YKL077W	9.6615e-10	4.32602e-09	-2.10624	0	145.735	3.39215	0	8	8	t-test	E
YDR530C	APA2	1.14079e-09	4.65641e-09	-2.10395	0	145.576	3.47014	0	8	8	t-test	E
YMR171C	YMR171C	3.4162e-09	9.08308e-09	-2.1024	0	145.469	4.05843	0	8	8	t-test	E
YGL094C	PAN2	1.65255e-11	1.12545e-09	-2.09965	0	145.279	1.88886	0	8	8	t-test	E
YBR125C	PTC4	2.90591e-10	2.466e-09	-2.09878	0	145.219	2.84567	0	8	8	t-test	E
YML100W-A	YML100W-A	5.72262e-09	1.29365e-08	-2.09516	0	144.968	4.35547	0	8	8	t-test	E
YBR178W	YBR178W	1.58718e-09	5.57497e-09	-2.09297	0	144.817	3.61943	0	8	8	t-test	E
YOL062C	APM4	2.12552e-10	2.23477e-09	-2.0923	0	144.77	2.71266	0	8	8	t-test	E
YHR146W	CRP1	6.23955e-09	1.37751e-08	-2.09032	0	144.634	4.39973	0	8	8	t-test	E
YJL134W	LCB3	1.92183e-09	6.25432e-09	-2.08851	0	144.508	3.7122	0	8	8	t-test	E
YOR059C	YOR059C	1.00606e-08	1.99306e-08	-2.08713	0	144.412	4.70526	0	8	8	t-test	E
YLL015W	BPT1	3.87764e-09	9.85826e-09	-2.08644	0	144.365	4.10156	0	8	8	t-test	E
YKR105C	YKR105C	1.70646e-08	3.08138e-08	-2.0838	0	144.182	5.06882	0	8	8	t-test	E
YJL197W	UBP12	4.74888e-08	7.85807e-08	-2.08258	0	144.098	5.8711	0	8	8	t-test	E
YDL172C	YDL172C	4.71025e-10	3.04019e-09	-2.08215	0	144.068	3.02533	0	8	8	t-test	E
YKL063C	YKL063C	2.01577e-08	3.56203e-08	-2.08146	0	144.021	5.18603	0	8	8	t-test	E
YJR107W	YJR107W	2.30776e-09	6.97363e-09	-2.08062	0	143.962	3.79653	0	8	8	t-test	E
YBR216C	YBP1	7.6887e-09	1.61373e-08	-2.07835	0	143.805	4.50781	0	8	8	t-test	E
YBR145W	ADH5	3.19841e-09	8.63772e-09	-2.07764	0	143.756	3.97289	0	8	8	t-test	E
YOL087C	YOL087C	2.72133e-08	4.67229e-08	-2.07736	0	143.737	5.4045	0	8	8	t-test	E
YGL083W	SCY1	7.63618e-10	3.88504e-09	-2.07689	0	143.704	3.23399	0	8	8	t-test	E
YKR080W	MTD1	8.29555e-10	3.95531e-09	-2.07636	0	143.667	3.27176	0	8	8	t-test	E
YJL089W	SIP4	5.98461e-09	1.33634e-08	-2.0747	0	143.553	4.34076	0	8	8	t-test	E
YBR072W	HSP26	6.4269e-09	1.40945e-08	-2.07278	0	143.42	4.3814	0	8	8	t-test	E
YMR010W	YMR010W	3.44542e-08	5.79728e-08	-2.07136	0	143.321	5.57531	0	8	8	t-test	E
YKL157W	APE2	4.87677e-08	8.05108e-08	-2.07049	0	143.261	5.85943	0	8	8	t-test	E
YAR050W	FLO1	5.31992e-09	1.2306e-08	-2.06997	0	143.225	4.25823	0	8	8	t-test	E
YDR304C	CPR5	6.70697e-08	1.08678e-07	-2.06754	0	143.057	6.12665	0	8	8	t-test	E
YIR020W-B	YIR020W-B	1.80881e-09	6.02662e-09	-2.06546	0	142.913	3.63945	0	8	8	t-test	E
YML109W	ZDS2	2.27487e-09	6.92296e-09	-2.06432	0	142.835	3.75905	0	8	8	t-test	E
YNR032W	PPG1	3.10789e-09	8.46246e-09	-2.06354	0	142.78	3.9297	0	8	8	t-test	E
YOL131W	YOL131W	2.35723e-10	2.30132e-09	-2.06254	0	142.712	2.71399	0	8	8	t-test	E
YOR028C	CIN5	2.45127e-09	7.27945e-09	-2.06237	0	142.699	3.79595	0	8	8	t-test	E
YKR077W	YKR077W	2.76215e-08	4.73859e-08	-2.06227	0	142.693	5.37676	0	8	8	t-test	E
YOR029W	YOR029W	4.64368e-10	3.02997e-09	-2.06151	0	142.64	2.98924	0	8	8	t-test	E
YGL114W	YGL114W	4.81949e-09	1.14463e-08	-2.0612	0	142.619	4.18045	0	8	8	t-test	E
YJL158C	CIS3	1.33388e-08	2.50445e-08	-2.06032	0	142.558	4.83715	0	8	8	t-test	E
YLR207W	HRD3	1.14752e-10	1.91082e-09	-2.05907	0	142.471	2.44412	0	8	8	t-test	E
YKL140W	TGL1	2.1286e-10	2.23477e-09	-2.05897	0	142.464	2.67	0	8	8	t-test	E
YGL126W	SCS3	1.14878e-09	4.67614e-09	-2.05798	0	142.396	3.39772	0	8	8	t-test	E
YHR106W	TRR2	1.34476e-08	2.51937e-08	-2.05747	0	142.36	4.8361	0	8	8	t-test	E
YAL054C	ACS1	9.27753e-08	1.48041e-07	-2.05709	0	142.334	6.38839	0	8	8	t-test	E
YGR203W	YGR203W	5.51688e-10	3.29295e-09	-2.05684	0	142.317	3.057	0	8	8	t-test	E
YOL045W	PSK2	3.77023e-09	9.67107e-09	-2.05643	0	142.289	4.02629	0	8	8	t-test	E
YIL105C	SLM1	6.79439e-08	1.09929e-07	-2.0552	0	142.203	6.10148	0	8	8	t-test	E
YKL008C	LAC1	5.07918e-09	1.18985e-08	-2.05313	0	142.06	4.19558	0	8	8	t-test	E
YML131W	YML131W	1.97684e-10	2.15445e-09	-2.05309	0	142.058	2.63433	0	8	8	t-test	E
YGL082W	YGL082W	1.81764e-09	6.03165e-09	-2.05285	0	142.041	3.61975	0	8	8	t-test	E
YFL011W	HXT10	6.9902e-09	1.4978e-08	-2.05259	0	142.023	4.39142	0	8	8	t-test	E
YBR177C	EHT1	2.6556e-10	2.4085e-09	-2.05221	0	141.997	2.74687	0	8	8	t-test	E
YJR100C	YJR100C	7.3513e-10	3.82624e-09	-2.05188	0	141.974	3.17768	0	8	8	t-test	E
YKR046C	PET10	1.04258e-09	4.49481e-09	-2.0518	0	141.968	3.34074	0	8	8	t-test	E
YLR299W	ECM38	1.96205e-09	6.31978e-09	-2.05004	0	141.846	3.65465	0	8	8	t-test	E
YDL123W	SNA4	9.67179e-11	1.75235e-09	-2.04956	0	141.813	2.37402	0	8	8	t-test	E
YKR078W	YKR078W	1.22181e-09	4.79267e-09	-2.04895	0	141.771	3.41283	0	8	8	t-test	E
YJL098W	SAP185	1.27063e-08	2.4078e-08	-2.0489	0	141.767	4.77682	0	8	8	t-test	E
YNL116W	DMA2	4.08697e-09	1.02329e-08	-2.04783	0	141.693	4.05615	0	8	8	t-test	E
YER087C-A	YER087C-A	1.56048e-08	2.85866e-08	-2.04688	0	141.628	4.91532	0	8	8	t-test	E
YGL108C	YGL108C	4.03906e-10	2.83621e-09	-2.04673	0	141.617	2.90909	0	8	8	t-test	E
YGL090W	LIF1	5.22175e-09	1.21201e-08	-2.04622	0	141.582	4.19812	0	8	8	t-test	E
YGR106C	YGR106C	4.21113e-09	1.04403e-08	-2.0462	0	141.58	4.07037	0	8	8	t-test	E
YOR138C	RUP1	1.91688e-09	6.24987e-09	-2.04589	0	141.559	3.6351	0	8	8	t-test	E
YMR209C	YMR209C	2.01611e-10	2.17845e-09	-2.04578	0	141.551	2.63235	0	8	8	t-test	E
YHR016C	YSC84	2.91405e-09	8.11475e-09	-2.04568	0	141.545	3.85985	0	8	8	t-test	E
YKR013W	PRY2	2.70405e-10	2.42653e-09	-2.0455	0	141.532	2.74498	0	8	8	t-test	E
YKL120W	OAC1	2.97215e-08	5.07049e-08	-2.04534	0	141.521	5.38925	0	8	8	t-test	E
YOR328W	PDR10	2.58962e-09	7.55153e-09	-2.04528	0	141.517	3.79427	0	8	8	t-test	E
YJR111C	YJR111C	1.54429e-09	5.45775e-09	-2.04523	0	141.514	3.523	0	8	8	t-test	E
YLR253W	YLR253W	2.9247e-10	2.47218e-09	-2.04393	0	141.424	2.77386	0	8	8	t-test	E
YDL121C	YDL121C	1.26527e-09	4.89026e-09	-2.04355	0	141.397	3.42094	0	8	8	t-test	E
YMR283C	RIT1	1.64576e-11	1.12545e-09	-2.04213	0	141.299	1.83603	0	8	8	t-test	E
YOL084W	PHM7	8.75946e-09	1.7877e-08	-2.0421	0	141.297	4.51297	0	8	8	t-test	E
YDR125C	ECM18	7.45929e-09	1.57397e-08	-2.04202	0	141.291	4.40977	0	8	8	t-test	E
YJL065C	DLS1	3.23607e-08	5.47938e-08	-2.04182	0	141.277	5.44635	0	8	8	t-test	E
YBR162W-A	YSY6	1.0835e-09	4.57477e-09	-2.04144	0	141.251	3.34226	0	8	8	t-test	E
YBR222C	PCS60	1.27738e-08	2.41633e-08	-2.0411	0	141.228	4.76227	0	8	8	t-test	E
YFL034C-A	RPL22B	1.25094e-09	4.86552e-09	-2.03946	0	141.114	3.40852	0	8	8	t-test	E
YKR102W	FLO10	4.36378e-09	1.06648e-08	-2.03931	0	141.104	4.07747	0	8	8	t-test	E
YER188W	YER188W	6.52685e-09	1.42461e-08	-2.03918	0	141.095	4.31994	0	8	8	t-test	E
YFL047W	RGD2	6.31324e-09	1.39021e-08	-2.03918	0	141.095	4.29934	0	8	8	t-test	E
YMR192W	GYL1	1.05711e-08	2.06987e-08	-2.03903	0	141.084	4.62966	0	8	8	t-test	E
YKL105C	YKL105C	5.59788e-10	3.31529e-09	-2.03887	0	141.074	3.03663	0	8	8	t-test	E
YKR070W	YKR070W	3.92204e-09	9.95165e-09	-2.03876	0	141.065	4.01437	0	8	8	t-test	E
YHR073W	OSH3	4.47182e-09	1.08486e-08	-2.03828	0	141.033	4.08975	0	8	8	t-test	E
YOR118W	RTC5	1.44098e-10	2.01719e-09	-2.03794	0	141.009	2.49918	0	8	8	t-test	E
YGL117W	YGL117W	2.22135e-09	6.81805e-09	-2.03785	0	141.003	3.6982	0	8	8	t-test	E
YMR017W	SPO20	2.51522e-09	7.41273e-09	-2.03759	0	140.985	3.76422	0	8	8	t-test	E
YKL123W	YKL123W	6.72282e-09	1.45576e-08	-2.03742	0	140.973	4.3346	0	8	8	t-test	E
YOL057W	YOL057W	1.0875e-09	4.58068e-09	-2.03734	0	140.967	3.33731	0	8	8	t-test	E
YBR032W	YBR032W	2.78783e-10	2.42653e-09	-2.0371	0	140.951	2.74568	0	8	8	t-test	E
YOL047C	YOL047C	1.48965e-10	2.03712e-09	-2.03698	0	140.943	2.50991	0	8	8	t-test	E
YLR392C	YLR392C	1.80584e-10	2.1373e-09	-2.03671	0	140.924	2.57969	0	8	8	t-test	E
YOR114W	YOR114W	1.47545e-09	5.32689e-09	-2.03663	0	140.918	3.48531	0	8	8	t-test	E
YMR130W	YMR130W	3.1335e-11	1.26936e-09	-2.03619	0	140.888	2.0073	0	8	8	t-test	E
YOR112W	YOR112W	2.71587e-09	7.76944e-09	-2.03602	0	140.876	3.80299	0	8	8	t-test	E
YHR207C	SET5	9.08104e-09	1.8307e-08	-2.03567	0	140.852	4.52215	0	8	8	t-test	E
YBR139W	YBR139W	1.62326e-08	2.95313e-08	-2.035	0	140.806	4.91463	0	8	8	t-test	E
YBR285W	YBR285W	9.46816e-09	1.89894e-08	-2.03489	0	140.798	4.54763	0	8	8	t-test	E
YLR121C	YPS3	5.66509e-11	1.58993e-09	-2.03468	0	140.783	2.18313	0	8	8	t-test	E
YJR147W	HMS2	2.84152e-09	8.00098e-09	-2.03447	0	140.769	3.82483	0	8	8	t-test	E
YMR180C	CTL1	1.33747e-08	2.509e-08	-2.03443	0	140.766	4.77821	0	8	8	t-test	E
YOR178C	GAC1	2.65866e-10	2.4085e-09	-2.03436	0	140.762	2.72343	0	8	8	t-test	E
YGR066C	YGR066C	6.73671e-09	1.45783e-08	-2.0343	0	140.757	4.32925	0	8	8	t-test	E
YBR264C	YPT10	9.35145e-09	1.87641e-08	-2.03375	0	140.719	4.53698	0	8	8	t-test	E
YER080W	FMP29	9.50466e-09	1.90448e-08	-2.03347	0	140.7	4.54698	0	8	8	t-test	E
YKL103C	LAP4	1.16889e-08	2.24273e-08	-2.0333	0	140.688	4.68389	0	8	8	t-test	E
YDR198C	RKM2	3.05791e-09	8.37774e-09	-2.03321	0	140.682	3.86294	0	8	8	t-test	E
YGL050W	TYW3	2.94212e-09	8.17823e-09	-2.03296	0	140.665	3.84113	0	8	8	t-test	E
YKL086W	SRX1	3.941e-09	9.96622e-09	-2.03296	0	140.665	4.00573	0	8	8	t-test	E
YFR038W	IRC5	5.17745e-10	3.19905e-09	-2.03289	0	140.66	2.99405	0	8	8	t-test	E
YKL187C	YKL187C	1.21549e-08	2.32175e-08	-2.03276	0	140.651	4.70905	0	8	8	t-test	E
YMR264W	CUE1	1.96131e-10	2.15341e-09	-2.03268	0	140.645	2.6052	0	8	8	t-test	E
YER167W	BCK2	7.39998e-10	3.83762e-09	-2.03225	0	140.615	3.15026	0	8	8	t-test	E
YOL082W	ATG19	4.20915e-10	2.87346e-09	-2.03183	0	140.586	2.90502	0	8	8	t-test	E
YOR380W	RDR1	6.15845e-09	1.36241e-08	-2.03156	0	140.567	4.26802	0	8	8	t-test	E
YJR153W	PGU1	1.06018e-08	2.07399e-08	-2.03073	0	140.51	4.61274	0	8	8	t-test	E
YDL112W	TRM3	9.06016e-09	1.82821e-08	-2.03052	0	140.496	4.50922	0	8	8	t-test	E
YLR345W	YLR345W	1.71662e-08	3.0954e-08	-2.03049	0	140.493	4.94335	0	8	8	t-test	E
YKR049C	FMP46	4.06422e-10	2.83621e-09	-2.03011	0	140.467	2.88803	0	8	8	t-test	E
YGL089C	MF(ALPHA)2	1.96033e-09	6.31955e-09	-2.02967	0	140.437	3.61788	0	8	8	t-test	E
YKL178C	STE3	1.51067e-09	5.37879e-09	-2.02965	0	140.436	3.48515	0	8	8	t-test	E
YOR131C	YOR131C	1.71394e-09	5.79957e-09	-2.02963	0	140.434	3.54878	0	8	8	t-test	E
YKR058W	GLG1	2.0927e-09	6.55915e-09	-2.02936	0	140.415	3.65139	0	8	8	t-test	E
YDR317W	HIM1	3.3515e-09	8.96658e-09	-2.02898	0	140.389	3.90597	0	8	8	t-test	E
YKL131W	YKL131W	1.85026e-09	6.09748e-09	-2.02886	0	140.381	3.58659	0	8	8	t-test	E
YCR059C	YIH1	4.40906e-10	2.9444e-09	-2.02879	0	140.376	2.92003	0	8	8	t-test	E
YER170W	ADK2	3.1186e-09	8.48084e-09	-2.02873	0	140.372	3.86532	0	8	8	t-test	E
YML058W	SML1	4.3224e-09	1.0599e-08	-2.02859	0	140.362	4.0505	0	8	8	t-test	E
YOL128C	YGK3	1.80685e-08	3.23411e-08	-2.02842	0	140.351	4.97488	0	8	8	t-test	E
YML029W	USA1	2.98671e-09	8.25816e-09	-2.02833	0	140.344	3.84067	0	8	8	t-test	E
YIL149C	MLP2	1.82959e-08	3.27071e-08	-2.02825	0	140.339	4.98343	0	8	8	t-test	E
YKR011C	YKR011C	3.52781e-10	2.66518e-09	-2.02824	0	140.338	2.82747	0	8	8	t-test	E
YJR121W	ATP2	2.80589e-10	2.42913e-09	-2.02787	0	140.312	2.73577	0	8	8	t-test	E
YKL079W	SMY1	1.35723e-10	2.00166e-09	-2.02769	0	140.3	2.46539	0	8	8	t-test	E
YMR188C	MRPS17	1.32458e-09	5.02008e-09	-2.02764	0	140.296	3.41668	0	8	8	t-test	E
YGL157W	YGL157W	5.66074e-10	3.32221e-09	-2.02753	0	140.289	3.02457	0	8	8	t-test	E
YJL135W	YJL135W	8.96323e-10	4.11943e-09	-2.02729	0	140.272	3.23008	0	8	8	t-test	E
YCL028W	RNQ1	2.78564e-10	2.42653e-09	-2.02724	0	140.269	2.73208	0	8	8	t-test	E
YJL144W	YJL144W	8.13915e-10	3.95531e-09	-2.02703	0	140.254	3.18533	0	8	8	t-test	E
YOR079C	ATX2	1.77491e-10	2.12891e-09	-2.02692	0	140.247	2.56095	0	8	8	t-test	E
YOL092W	YOL092W	3.01269e-10	2.49723e-09	-2.02676	0	140.236	2.76226	0	8	8	t-test	E
YBR206W	YBR206W	9.36256e-10	4.23634e-09	-2.02672	0	140.233	3.24942	0	8	8	t-test	E
YBR040W	FIG1	2.81853e-09	7.96234e-09	-2.02657	0	140.222	3.80554	0	8	8	t-test	E
YKR012C	YKR012C	1.58449e-08	2.89771e-08	-2.02604	0	140.185	4.87598	0	8	8	t-test	E
YML074C	FPR3	6.17968e-10	3.49612e-09	-2.02601	0	140.184	3.06053	0	8	8	t-test	E
YOR162C	YRR1	3.65433e-10	2.70754e-09	-2.02597	0	140.181	2.8386	0	8	8	t-test	E
YDR119W	YDR119W	3.71172e-09	9.56096e-09	-2.02557	0	140.153	3.95696	0	8	8	t-test	E
YOR099W	KTR1	9.69645e-09	1.93646e-08	-2.02541	0	140.142	4.54198	0	8	8	t-test	E
YLR363C	NMD4	4.68945e-09	1.12244e-08	-2.02535	0	140.138	4.09164	0	8	8	t-test	E
YDR399W	HPT1	1.92099e-08	3.41138e-08	-2.02515	0	140.124	5.01084	0	8	8	t-test	E
YBR203W	COS111	2.6268e-08	4.52809e-08	-2.02514	0	140.123	5.24186	0	8	8	t-test	E
YJR127C	RSF2	4.24011e-09	1.04759e-08	-2.0249	0	140.107	4.03197	0	8	8	t-test	E
YOR108W	LEU9	4.35215e-09	1.06485e-08	-2.02464	0	140.089	4.04658	0	8	8	t-test	E
YKL162C	YKL162C	4.70901e-10	3.04019e-09	-2.02413	0	140.054	2.94092	0	8	8	t-test	E
YJR148W	BAT2	8.17244e-09	1.68795e-08	-2.02386	0	140.035	4.4283	0	8	8	t-test	E
YOL048C	YOL048C	9.14713e-12	1.0449e-09	-2.02356	0	140.014	1.67277	0	8	8	t-test	E
YLR097C	HRT3	4.13727e-09	1.03228e-08	-2.02342	0	140.004	4.01485	0	8	8	t-test	E
YOR313C	SPS4	4.95682e-09	1.16756e-08	-2.02326	0	139.994	4.1201	0	8	8	t-test	E
YOR170W	YOR170W	4.65009e-10	3.02997e-09	-2.02325	0	139.993	2.93434	0	8	8	t-test	E
YGR144W	THI4	1.0103e-09	4.44037e-09	-2.02323	0	139.991	3.2794	0	8	8	t-test	E
YHL039W	YHL039W	2.03909e-09	6.45827e-09	-2.02295	0	139.972	3.62634	0	8	8	t-test	E
YJL145W	SFH5	6.11885e-09	1.35698e-08	-2.02294	0	139.971	4.24598	0	8	8	t-test	E
YOR090C	PTC5	6.95407e-11	1.63092e-09	-2.02265	0	139.951	2.23483	0	8	8	t-test	E
YKL065C	YET1	2.50746e-10	2.35088e-09	-2.02251	0	139.941	2.68495	0	8	8	t-test	E
YGL199C	YGL199C	5.69409e-10	3.32573e-09	-2.02235	0	139.93	3.01938	0	8	8	t-test	E
YDR124W	YDR124W	1.49519e-09	5.36368e-09	-2.02233	0	139.929	3.46745	0	8	8	t-test	E
YBR183W	YPC1	1.84321e-09	6.08986e-09	-2.02194	0	139.902	3.5724	0	8	8	t-test	E
YMR196W	YMR196W	6.2723e-10	3.5253e-09	-2.02154	0	139.874	3.06028	0	8	8	t-test	E
YDR408C	ADE8	5.38109e-09	1.24094e-08	-2.02126	0	139.855	4.16485	0	8	8	t-test	E
YJR019C	TES1	1.74674e-08	3.14355e-08	-2.02123	0	139.853	4.93316	0	8	8	t-test	E
YLR118C	YLR118C	4.40073e-09	1.07124e-08	-2.02102	0	139.839	4.0458	0	8	8	t-test	E
YHR139C	SPS100	1.59994e-08	2.91974e-08	-2.02089	0	139.829	4.87038	0	8	8	t-test	E
YDR193W	YDR193W	1.16664e-08	2.24041e-08	-2.02044	0	139.798	4.65297	0	8	8	t-test	E
YBR166C	TYR1	7.88253e-10	3.95531e-09	-2.02041	0	139.796	3.16039	0	8	8	t-test	E
YDR132C	YDR132C	2.71296e-08	4.65979e-08	-2.02034	0	139.792	5.25382	0	8	8	t-test	E
YOL141W	PPM2	1.46337e-10	2.03357e-09	-2.02032	0	139.79	2.48304	0	8	8	t-test	E
YER046W	SPO73	7.17626e-10	3.78045e-09	-2.02007	0	139.772	3.11763	0	8	8	t-test	E
YOR050C	YOR050C	3.33249e-11	1.30088e-09	-2.01995	0	139.765	2.00891	0	8	8	t-test	E
YOL098C	YOL098C	1.17046e-09	4.71922e-09	-2.01975	0	139.75	3.34355	0	8	8	t-test	E
YKR032W	YKR032W	6.14249e-11	1.6238e-09	-2.01961	0	139.741	2.1922	0	8	8	t-test	E
YKR039W	GAP1	1.04614e-09	4.50318e-09	-2.01936	0	139.723	3.28952	0	8	8	t-test	E
YML123C	PHO84	7.61121e-10	3.87693e-09	-2.01931	0	139.72	3.14285	0	8	8	t-test	E
YEL066W	HPA3	2.99047e-08	5.09566e-08	-2.01916	0	139.71	5.32497	0	8	8	t-test	E
YMR042W	ARG80	7.92923e-10	3.95531e-09	-2.019	0	139.699	3.16086	0	8	8	t-test	E
YJL058C	BIT61	2.58424e-09	7.5488e-09	-2.01892	0	139.693	3.74427	0	8	8	t-test	E
YMR006C	PLB2	7.8067e-09	1.62886e-08	-2.01879	0	139.684	4.38822	0	8	8	t-test	E
