R package version: 0.0-30
Summary type: mean
Test type: t-test
x-axis treatment: 37
x-axis medium: SDM_rhk_CTGN
x-axis screen ID: QFA0141
x-axis screen name: Addinall et al. (2011) 37C ura3
x-axis libraries: SDLV2_384_SDLV3_384
x-axis client: DAL
x-axis user: SGA
x-axis date: 2010/01/18
x-axis PI: DAL
x-axis condition: SDM_rhk_CTGN
x-axis inoculation type: DIL
x-axis fitness definition: MDRMDP
y-axis treatment: 36
y-axis medium: SDM_rhlk_CTGH
y-axis screen ID: QFA0140
y-axis screen name: Addinall et al. (2011) 36C cdc13-1
y-axis libraries: SDLV2_384_SDLV3_384
y-axis client: DAL
y-axis user: SGA
y-axis date: 2009/11/16
y-axis PI: DAL
y-axis condition: SDM_rhlk_CTGH
y-axis inoculation type: DIL
y-axis fitness definition: MDRMDP
#########################################################
ORF	Gene	P	Q	GIS	QueryFitnessSummary	ControlFitnessSummary	QuerySE	ControlSE	QueryCount	ControlCount	TestType	Type
YPL036W	PMA2	0.00333645	0.00488799	-2.63995	0	170.843	0	39.2337	8	8	t-test	E
YNL128W	TEP1	0.00339444	0.00497125	-2.58005	0	166.967	0	38.4682	8	8	t-test	E
YNL089C	YNL089C	0.00379538	0.00555655	-2.55163	0	165.128	0	38.8581	8	8	t-test	E
YPL166W	ATG29	0.00424379	0.00620246	-2.54213	0	164.513	0	39.55	8	8	t-test	E
YPL088W	YPL088W	0.00405874	0.00593604	-2.53463	0	164.028	0	39.0971	8	8	t-test	E
YNL259C	ATX1	0.00600309	0.00873214	-2.4898	0	161.127	0	41.4589	8	8	t-test	E
YOL013W-A	YOL013W-A	0.00386388	0.00565491	-2.47064	0	159.886	0	37.7531	8	8	t-test	E
YNL010W	YNL010W	0.00770516	0.0111288	-2.42575	0	156.982	0	42.4844	8	8	t-test	E
YOR054C	VHS3	0.00528465	0.00770013	-2.41226	0	156.109	0	39.1662	8	8	t-test	E
YKR019C	IRS4	0.00723903	0.0104909	-2.37438	0	153.657	0	41.0574	8	8	t-test	E
YLL013C	PUF3	1.29223e-06	2.01629e-06	-2.37136	0	153.461	0	10.1057	8	8	t-test	E
YDR297W	SUR2	5.30395e-08	9.08825e-08	-2.3659	0	153.108	0	6.33856	8	8	t-test	E
YDR073W	SNF11	2.48054e-08	4.60806e-08	-2.33982	0	151.421	0	5.61792	8	8	t-test	E
YJR131W	MNS1	1.67722e-09	7.44006e-09	-2.33136	0	150.873	0	3.80075	8	8	t-test	E
