R package version: 0.0-13
Summary type: mean
Test type: t-test
Control treatment: 27C
Control medium: SDM_rhk_CTGN
Control screen ID: QFA0028
Control screen name: Addinall et al. (2011) ura3D
Control libraries: SDLV2_384_SDLV3_384
Control client: DAL
Control user: SGA
Control date: 2010/01/18
Query treatment: 27C
Query medium: SDM_rhlk_CTGH
Query screen ID: QFA0029
Query screen name: Addinall et al. (2011) cdc13-1
Query libraries: SDLV2_384_SDLV3_384
Query client: DAL
Query user: SGA
Query date: 2009/11/16
#########################################################
ORF	Gene	P	Q	GIS	QueryFitnessSummary	ControlFitnessSummary	QuerySE	ControlSE	QueryCount	ControlCount	TestType	Type
YMR284W	YKU70	1.63968e-14	7.82312e-12	-65.2609	1.4806	133.081	2.69223	1.4806	8	8	t-test	E
YOR027W	STI1	3.76207e-10	6.46173e-08	-64.1407	0	127.896	2.60062	0	8	8	t-test	E
YCR020C-A	MAK31	5.46026e-07	2.05132e-05	-61.2423	6.35951	134.797	2.94401	4.39361	8	8	t-test	E
YBR275C	RIF1	1.34267e-07	6.33562e-06	-60.1107	5.85018	131.525	3.65024	4.07681	8	8	t-test	E
YDR260C	SWM1	7.78476e-08	4.23136e-06	-57.7794	7.92613	131.016	1.75496	3.08919	8	8	t-test	E
YCR079W	PTC6	7.6202e-07	2.70423e-05	-57.0909	12.1833	138.132	3.10921	4.35052	8	8	t-test	E
YDL056W	MBP1	2.03988e-06	5.9184e-05	-56.4138	12.335	137.084	4.56435	5.14518	8	8	t-test	E
YBR072W	HSP26	3.24371e-06	8.63487e-05	-56.098	21.2012	154.133	4.6879	5.36926	8	8	t-test	E
YCL060C	:::MRC1	1.02616e-08	8.81267e-07	-55.6667	6.72562	124.409	1.90773	2.59173	8	8	t-test	E
YCL061C	MRC1	9.4532e-09	8.45668e-07	-54.4912	5.71502	120.05	2.5283	2.79752	8	8	t-test	E
YPR051W	MAK3	9.08027e-07	3.16997e-05	-54.1884	9.11767	126.231	1.11369	3.57577	8	8	t-test	E
YMR186W	HSC82	1.99518e-07	8.83227e-06	-53.8223	11.465	130.182	2.20901	3.3859	8	8	t-test	E
YGL014W	PUF4	3.69716e-05	0.000647984	-53.6904	9.70462	126.409	1.6494	5.98558	8	8	t-test	E
YAL024C	LTE1	1.6005e-07	7.38984e-06	-53.1274	8.45716	122.799	2.55864	3.42088	8	8	t-test	E
YKL191W	DPH2	2.45623e-08	1.8834e-06	-52.7274	12.5897	130.241	2.22272	2.80829	8	8	t-test	E
YPR120C	CLB5	4.63303e-09	4.97356e-07	-52.4277	7.06604	118.63	2.94619	2.7446	8	8	t-test	E
YPR040W	TIP41	9.42537e-07	3.2456e-05	-52.2004	12.2786	128.57	2.19095	3.83509	8	8	t-test	E
YHR030C	SLT2	1.23375e-06	3.95353e-05	-52.1608	18.038	139.975	4.93757	4.71572	8	8	t-test	E
YGR123C	PPT1	1.90494e-06	5.64126e-05	-52.0372	16.0567	135.778	2.34207	4.16926	8	8	t-test	E
YBR034C	HMT1	1.14527e-09	1.58639e-07	-51.9464	16.5931	136.667	3.70465	2.67655	8	8	t-test	E
YCL016C	DCC1	5.88991e-09	5.74802e-07	-51.8738	4.13623	111.683	2.7652	2.70821	8	8	t-test	E
YGR187C	HGH1	2.56516e-06	7.06077e-05	-51.8283	13.9142	131.089	2.01744	4.18839	8	8	t-test	E
YIL103W	DPH1	2.02575e-08	1.61609e-06	-51.8025	12.585	128.388	2.75079	2.9347	8	8	t-test	E
YCR077C	PAT1	5.25774e-09	5.32014e-07	-51.5606	2.58135	107.958	2.49113	2.58135	8	8	t-test	E
YJL092W	HPR5	9.82749e-07	3.34915e-05	-51.4931	14.9756	132.537	3.68429	4.28559	8	8	t-test	E
YDR290W	:::RTT103	2.11632e-07	9.08748e-06	-51.1389	7.41231	116.75	3.43564	3.69592	8	8	t-test	E
YPR046W	MCM16	3.96403e-06	0.000100719	-50.812	15.2537	131.734	3.01985	4.62731	8	8	t-test	E
YEL053C	MAK10	7.92207e-09	7.23773e-07	-50.5035	12.5822	125.792	4.12996	3.04836	8	8	t-test	E
YMR073C	IRC21	3.76108e-06	9.67071e-05	-50.3116	13.5223	127.284	2.23186	4.33145	8	8	t-test	E
YBL088C	TEL1	1.48164e-10	3.0296e-08	-50.0731	19.3287	138.386	3.67924	2.25342	8	8	t-test	E
YIL009C-A	EST3	5.78832e-05	0.000963374	-50.0118	15.5747	130.778	2.38383	6.08963	8	8	t-test	E
YER155C	BEM2	7.30807e-08	4.12906e-06	-49.8837	13.0358	125.46	2.61488	3.09137	8	8	t-test	E
YPL179W	PPQ1	1.03926e-06	3.51386e-05	-49.3066	14.9429	128.112	1.60127	3.49779	8	8	t-test	E
YHR111W	UBA4	1.49879e-06	4.71449e-05	-49.149	10.3492	118.638	3.58307	4.2618	8	8	t-test	E
YIL131C	FKH1	1.29418e-05	0.000279256	-48.7279	17.8008	132.657	1.62106	4.72564	8	8	t-test	E
YBL039C	URA7	1.6706e-05	0.000336788	-48.6933	14.3929	125.793	3.29222	5.28503	8	8	t-test	E
YIL154C	IMP2'	1.38235e-05	0.000293224	-48.4857	11.0667	118.746	2.10767	4.85942	8	8	t-test	E
