Library	ORF 	Plate	Row	Column	Notes
BooneSDLV2	YBR159W	1	6	19	
BooneSDLV2	YBR047W	1	6	20	
BooneSDLV2	YBR158W	1	6	21	
BooneSDLV2	YBR046C	1	6	22	
BooneSDLV2	YBR157C	1	6	23	
BooneSDLV2	YOR202W	1	6	24	
BooneSDLV2	YOR202W	1	7	1	
BooneSDLV2	YAL054C	1	7	2	
BooneSDLV2	YBL064C	1	7	3	
BooneSDLV2	YAL053W	1	7	4	
BooneSDLV2	YBL063W	1	7	5	
BooneSDLV2	YAL051W	1	7	6	
BooneSDLV2	YBL062W	1	7	7	
BooneSDLV2	YAL049C	1	7	8	
BooneSDLV2	YBL061C	1	7	9	
BooneSDLV2	YAL045C	1	7	10	
BooneSDLV2	YBL060W	1	7	11	
BooneSDLV2	YAL043C-A	1	7	12	
BooneSDLV2	YBL059W	1	7	13	
BooneSDLV2	YAL042W	1	7	14	
BooneSDLV2	YBL057C	1	7	15	
BooneSDLV2	YAL040C	1	7	16	
BooneSDLV2	YBL056W	1	7	17	
BooneSDLV2	YAL037W	1	7	18	
BooneSDLV2	YBL055C	1	7	19	
BooneSDLV2	YAL036C	1	7	20	
BooneSDLV2	YBL054W	1	7	21	
BooneSDLV2	YAL034C	1	7	22	
BooneSDLV2	YBL053W	1	7	23	
BooneSDLV2	YOR202W	1	7	24	
BooneSDLV2	YOR202W	1	8	1	
BooneSDLV2	YBR071W	1	8	2	
BooneSDLV2	YBR182C	1	8	3	
BooneSDLV2	YBR069C	1	8	4	
BooneSDLV2	YBR181C	1	8	5	
BooneSDLV2	YBR068C	1	8	6	
BooneSDLV2	YBR180W	1	8	7	
BooneSDLV2	YBR067C	1	8	8	
BooneSDLV2	YBR178W	1	8	9	
BooneSDLV2	YBR066C	1	8	10	
BooneSDLV2	YBR177C	1	8	11	
BooneSDLV2	YBR065C	1	8	12	
BooneSDLV2	YBR176W	1	8	13	
BooneSDLV2	YBR064W	1	8	14	
BooneSDLV2	YBR175W	1	8	15	
BooneSDLV2	YBR063C	1	8	16	
BooneSDLV2	YBR174C	1	8	17	
BooneSDLV2	YBR062C	1	8	18	
BooneSDLV2	YBR172C	1	8	19	
BooneSDLV2	YBR061C	1	8	20	
BooneSDLV2	YBR171W	1	8	21	
BooneSDLV2	YBR059C	1	8	22	
BooneSDLV2	YBR170C	1	8	23	
BooneSDLV2	YOR202W	1	8	24	
BooneSDLV2	YOR202W	1	9	1	
BooneSDLV2	YAL066W	1	9	2	
BooneSDLV2	YBL079W	1	9	3	
BooneSDLV2	YAL065C	1	9	4	
BooneSDLV2	YBL078C	1	9	5	
BooneSDLV2	YAL064C-A	1	9	6	
BooneSDLV2	YBL075C	1	9	7	
BooneSDLV2	YAL062W	1	9	8	
BooneSDLV2	YBL072C	1	9	9	
BooneSDLV2	YAL061W	1	9	10	
BooneSDLV2	YBL071C	1	9	11	
BooneSDLV2	YAL060W	1	9	12	
BooneSDLV2	YBL070C	1	9	13	
BooneSDLV2	YAL059W	1	9	14	
BooneSDLV2	YBL069W	1	9	15	
BooneSDLV2	YAL058W	1	9	16	
BooneSDLV2	YBL068W	1	9	17	
BooneSDLV2	YAL058C-A	1	9	18	
BooneSDLV2	YBL067C	1	9	19	
BooneSDLV2	YAL056W	1	9	20	
BooneSDLV2	YBL066C	1	9	21	
BooneSDLV2	YAL055W	1	9	22	
BooneSDLV2	YBL065W	1	9	23	
BooneSDLV2	YOR202W	1	9	24	
BooneSDLV2	YOR202W	1	10	1	
BooneSDLV2	YBR090C	1	10	2	
BooneSDLV2	YBR199W	1	10	3	
